,State,214,220,227,234,241,248
0,Washington,1863,97,119,141,160,173
1,Illinois,8089,184,213,239,256,261
2,California,12153,914,1042,1149,1211,1212
3,Arizona,4771,186,173,163,151,137
4,Massachusetts,8921,60,63,69,75,78
5,Wisconsin,1081,93,108,119,129,133
6,Texas,11696,1068,1116,1114,1076,999
7,Nebraska,378,29,34,39,40,42
8,Utah,385,44,48,51,53,53
9,Oregon,417,67,76,85,93,98
10,Florida,10325,996,1050,1071,1048,994
11,New York,32851,121,152,196,247,298
12,Rhode Island,1030,11,15,20,25,31
13,Georgia,5132,287,311,320,318,302
14,New Hampshire,429,6,7,9,11,14
15,North Carolina,2531,240,246,245,241,232
16,New Jersey,15946,48,51,55,57,56
17,Colorado,1918,45,54,64,76,82
18,Maryland,3691,58,59,57,56,54
19,Nevada,1197,103,106,105,102,95
20,Tennessee,1567,203,211,213,209,201
21,Hawaii,47,19,20,22,24,29
22,Indiana,3220,104,124,145,162,173
23,Kentucky,872,60,66,69,81,98
24,Minnesota,1813,68,74,79,82,83
25,Oklahoma,726,105,112,116,117,114
26,Pennsylvania,7557,159,200,253,309,356
27,South Carolina,2504,205,174,166,161,158
28,District of Columbia,604,5,5,5,5,6
29,Kansas,426,49,55,59,62,63
30,Missouri,1453,92,105,116,124,128
31,Vermont,58,1,2,2,3,3
32,Virginia,2467,122,141,158,175,180
33,Connecticut,4460,19,21,23,26,29
34,Iowa,1037,69,75,78,79,79
35,Louisiana,4746,135,138,142,142,135
36,Ohio,3978,223,247,271,289,299
37,Michigan,6659,120,149,181,213,237
38,South Dakota,161,12,11,10,9,9
39,Arkansas,687,91,100,103,104,103
40,Delaware,600,7,7,7,8,7
41,Mississippi,2240,123,117,109,101,91
42,New Mexico,745,30,34,41,48,52
43,North Dakota,136,17,18,18,18,17
44,Wyoming,37,5,6,7,8,8
45,Alaska,32,10,11,11,12,12
46,Maine,131,5,7,8,11,13
47,Alabama,2013,168,165,161,153,144
48,Idaho,307,64,70,73,72,68
49,Montana,90,20,21,21,22,22
50,Puerto Rico,390,8,9,11,14,18
51,Virgin Islands,11,0,0,0,0,0
52,Guam,6,0,0,0,0,0
53,West Virginia,179,21,27,35,42,51
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
