,State,648,654
0,Washington,NaN,111
1,Illinois,NaN,163
2,California,NaN,645
3,Arizona,NaN,506
4,Massachusetts,NaN,68
5,Wisconsin,NaN,168
6,Texas,NaN,714
7,Nebraska,NaN,123
8,Utah,NaN,105
9,Oregon,NaN,62
10,Florida,NaN,534
11,New York,NaN,213
12,Rhode Island,NaN,1
13,Georgia,NaN,399
14,New Hampshire,NaN,0
15,North Carolina,NaN,291
16,New Jersey,NaN,93
17,Colorado,NaN,184
18,Maryland,NaN,69
19,Nevada,NaN,117
20,Tennessee,NaN,202
21,Hawaii,NaN,24
22,Indiana,NaN,220
23,Kentucky,NaN,142
24,Minnesota,NaN,137
25,Oklahoma,NaN,0
26,Pennsylvania,NaN,424
27,South Carolina,NaN,197
28,District of Columbia,NaN,2
29,Kansas,NaN,227
30,Missouri,NaN,64
31,Vermont,NaN,12
32,Virginia,NaN,196
33,Connecticut,NaN,30
34,Iowa,NaN,133
35,Louisiana,NaN,56
36,Ohio,NaN,587
37,Michigan,NaN,410
38,South Dakota,NaN,1
39,Arkansas,NaN,217
40,Delaware,NaN,10
41,Mississippi,NaN,65
42,New Mexico,NaN,63
43,North Dakota,NaN,57
44,Wyoming,NaN,20
45,Alaska,NaN,0
46,Maine,NaN,52
47,Alabama,NaN,129
48,Idaho,NaN,110
49,Montana,NaN,53
50,Puerto Rico,NaN,5
51,Virgin Islands,NaN,2
52,Guam,NaN,19
53,West Virginia,NaN,171
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
