,State,823,829
0,Washington,NaN,10372
1,Illinois,NaN,21470
2,California,NaN,38992
3,Arizona,NaN,1234
4,Massachusetts,NaN,15963
5,Wisconsin,NaN,7375
6,Texas,NaN,36203
7,Nebraska,NaN,535
8,Utah,NaN,1502
9,Oregon,NaN,5968
10,Florida,NaN,16607
11,New York,NaN,49523
12,Rhode Island,NaN,2476
13,Georgia,NaN,5323
14,New Hampshire,NaN,2335
15,North Carolina,NaN,10304
16,New Jersey,NaN,16948
17,Colorado,NaN,12137
18,Maryland,NaN,5844
19,Nevada,NaN,3480
20,Tennessee,NaN,2228
21,Hawaii,NaN,2123
22,Indiana,NaN,3245
23,Kentucky,NaN,2894
24,Minnesota,NaN,6472
25,Oklahoma,NaN,1979
26,Pennsylvania,NaN,10172
27,South Carolina,NaN,2126
28,District of Columbia,NaN,1233
29,Kansas,NaN,21
30,Missouri,NaN,904
31,Vermont,NaN,2373
32,Virginia,NaN,8116
33,Connecticut,NaN,6912
34,Iowa,NaN,1319
35,Louisiana,NaN,1502
36,Ohio,NaN,8579
37,Michigan,NaN,12372
38,South Dakota,NaN,158
39,Arkansas,NaN,769
40,Delaware,NaN,1392
41,Mississippi,NaN,440
42,New Mexico,NaN,1318
43,North Dakota,NaN,370
44,Wyoming,NaN,78
45,Alaska,NaN,1745
46,Maine,NaN,2353
47,Alabama,NaN,2034
48,Idaho,NaN,605
49,Montana,NaN,429
50,Puerto Rico,NaN,21469
51,Virgin Islands,NaN,188
52,Guam,NaN,235
53,West Virginia,NaN,967
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,14
