,State,711,717
0,Washington,NaN,27
1,Illinois,NaN,334
2,California,NaN,359
3,Arizona,NaN,358
4,Massachusetts,NaN,222
5,Wisconsin,NaN,31
6,Texas,NaN,513
7,Nebraska,NaN,39
8,Utah,NaN,17
9,Oregon,NaN,30
10,Florida,NaN,227
11,New York,NaN,572
12,Rhode Island,NaN,87
13,Georgia,NaN,227
14,New Hampshire,NaN,128
15,North Carolina,NaN,129
16,New Jersey,NaN,284
17,Colorado,NaN,181
18,Maryland,NaN,158
19,Nevada,NaN,23
20,Tennessee,NaN,1652
21,Hawaii,NaN,14
22,Indiana,NaN,202
23,Kentucky,NaN,140
24,Minnesota,NaN,250
25,Oklahoma,NaN,32
26,Pennsylvania,NaN,650
27,South Carolina,NaN,49
28,District of Columbia,NaN,5
29,Kansas,NaN,70
30,Missouri,NaN,232
31,Vermont,NaN,14
32,Virginia,NaN,122
33,Connecticut,NaN,87
34,Iowa,NaN,21
35,Louisiana,NaN,30
36,Ohio,NaN,531
37,Michigan,NaN,641
38,South Dakota,NaN,48
39,Arkansas,NaN,168
40,Delaware,NaN,23
41,Mississippi,NaN,63
42,New Mexico,NaN,98
43,North Dakota,NaN,13
44,Wyoming,NaN,0
45,Alaska,NaN,0
46,Maine,NaN,57
47,Alabama,NaN,42
48,Idaho,NaN,76
49,Montana,NaN,0
50,Puerto Rico,NaN,24
51,Virgin Islands,NaN,0
52,Guam,NaN,1
53,West Virginia,NaN,44
54,Northern Mariana Islands,NaN,5
55,American Samoa,NaN,0
