,State,718,724
0,Washington,NaN,134
1,Illinois,NaN,548
2,California,NaN,592
3,Arizona,NaN,343
4,Massachusetts,NaN,360
5,Wisconsin,NaN,239
6,Texas,NaN,593
7,Nebraska,NaN,139
8,Utah,NaN,98
9,Oregon,NaN,102
10,Florida,NaN,203
11,New York,NaN,1206
12,Rhode Island,NaN,67
13,Georgia,NaN,174
14,New Hampshire,NaN,76
15,North Carolina,NaN,194
16,New Jersey,NaN,459
17,Colorado,NaN,189
18,Maryland,NaN,463
19,Nevada,NaN,121
20,Tennessee,NaN,61
21,Hawaii,NaN,6
22,Indiana,NaN,401
23,Kentucky,NaN,213
24,Minnesota,NaN,223
25,Oklahoma,NaN,126
26,Pennsylvania,NaN,1617
27,South Carolina,NaN,115
28,District of Columbia,NaN,18
29,Kansas,NaN,144
30,Missouri,NaN,463
31,Vermont,NaN,1
32,Virginia,NaN,29
33,Connecticut,NaN,203
34,Iowa,NaN,224
35,Louisiana,NaN,61
36,Ohio,NaN,484
37,Michigan,NaN,735
38,South Dakota,NaN,31
39,Arkansas,NaN,163
40,Delaware,NaN,76
41,Mississippi,NaN,99
42,New Mexico,NaN,111
43,North Dakota,NaN,15
44,Wyoming,NaN,23
45,Alaska,NaN,0
46,Maine,NaN,84
47,Alabama,NaN,145
48,Idaho,NaN,60
49,Montana,NaN,5
50,Puerto Rico,NaN,59
51,Virgin Islands,NaN,0
52,Guam,NaN,0
53,West Virginia,NaN,62
54,Northern Mariana Islands,NaN,6
55,American Samoa,NaN,0
