,State,732,738
0,Washington,NaN,310
1,Illinois,NaN,728
2,California,NaN,956
3,Arizona,NaN,527
4,Massachusetts,NaN,399
5,Wisconsin,NaN,309
6,Texas,NaN,1031
7,Nebraska,NaN,6
8,Utah,NaN,110
9,Oregon,NaN,65
10,Florida,NaN,812
11,New York,NaN,1569
12,Rhode Island,NaN,82
13,Georgia,NaN,338
14,New Hampshire,NaN,58
15,North Carolina,NaN,321
16,New Jersey,NaN,920
17,Colorado,NaN,192
18,Maryland,NaN,536
19,Nevada,NaN,93
20,Tennessee,NaN,1034
21,Hawaii,NaN,16
22,Indiana,NaN,440
23,Kentucky,NaN,143
24,Minnesota,NaN,119
25,Oklahoma,NaN,256
26,Pennsylvania,NaN,1038
27,South Carolina,NaN,266
28,District of Columbia,NaN,13
29,Kansas,NaN,98
30,Missouri,NaN,457
31,Vermont,NaN,24
32,Virginia,NaN,44
33,Connecticut,NaN,181
34,Iowa,NaN,69
35,Louisiana,NaN,231
36,Ohio,NaN,30
37,Michigan,NaN,398
38,South Dakota,NaN,39
39,Arkansas,NaN,33
40,Delaware,NaN,50
41,Mississippi,NaN,79
42,New Mexico,NaN,70
43,North Dakota,NaN,30
44,Wyoming,NaN,16
45,Alaska,NaN,142
46,Maine,NaN,55
47,Alabama,NaN,204
48,Idaho,NaN,82
49,Montana,NaN,46
50,Puerto Rico,NaN,223
51,Virgin Islands,NaN,3
52,Guam,NaN,12
53,West Virginia,NaN,133
54,Northern Mariana Islands,NaN,3
55,American Samoa,NaN,0
