,Region,642,647,654
0,Belgium,,NaN,NaN
1,Bulgaria,,38134,49785
2,Czechia,,38025,68385
3,Denmark,,11204,16620
4,Germany,,142909,189814
5,Estonia,,10315,11703
6,Ireland,,16825,19604
7,Greece,,28549,34916
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,26323,40464
11,Italy,,28062,33666
12,Cyprus,,NaN,NaN
13,Latvia,,22506,27908
14,Lithuania,,21287,22281
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,44932,60390
19,Austria,,29963,37285
20,Poland,,52814,84239
21,Portugal,,4273,4010
22,Romania,,104170,100446
23,Slovenia,,16978,24824
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,305672,249383
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,5658,7743
31,Switzerland,,NaN,NaN
