,Region,565,570,577
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,1077,1005
3,Denmark,,6288,6136
4,Germany,,26371,33925
5,Estonia,,1184,1116
6,Ireland,,11774,13614
7,Greece,,20290,20974
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,1061,993
11,Italy,,43983,46667
12,Cyprus,,NaN,NaN
13,Latvia,,NaN,NaN
14,Lithuania,,3805,4827
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,3163,2965
20,Poland,,NaN,NaN
21,Portugal,,14293,12305
22,Romania,,2144,2919
23,Slovenia,,1093,1286
24,Slovakia,,NaN,NaN
25,Finland,,6689,7922
26,Sweden,,NaN,NaN
27,United Kingdom,,202233,214767
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,3916,5281
31,Switzerland,,NaN,NaN
