,Region,558,563,570
0,Belgium,,7303,5967
1,Bulgaria,,3000,5693
2,Czechia,,1203,1097
3,Denmark,,7199,8136
4,Germany,,16859,18754
5,Estonia,,NaN,NaN
6,Ireland,,9219,9334
7,Greece,,19090,19063
8,Spain,,NaN,NaN
9,France,,158038,174595
10,Croatia,,956,894
11,Italy,,46458,55548
12,Cyprus,,3508,2445
13,Latvia,,444,393
14,Lithuania,,2634,2914
15,Luxembourg,,121,45
16,Hungary,,231,203
17,Malta,,449,252
18,Netherlands,,15680,8685
19,Austria,,2573,2412
20,Poland,,1068,1287
21,Portugal,,10373,6734
22,Romania,,1484,2138
23,Slovenia,,727,772
24,Slovakia,,266,248
25,Finland,,6146,8067
26,Sweden,,NaN,NaN
27,United Kingdom,,115552,71329
28,Iceland,,1044,1373
29,Liechtenstein,,9,6
30,Norway,,2702,3550
31,Switzerland,,NaN,NaN
