,Region,488,493,500
0,Belgium,,17137,17869
1,Bulgaria,,1555,937
2,Czechia,,3506,2249
3,Denmark,,6548,5983
4,Germany,,61294,56486
5,Estonia,,1264,992
6,Ireland,,NaN,NaN
7,Greece,,8593,4838
8,Spain,,NaN,NaN
9,France,,29923,15459
10,Croatia,,2287,1356
11,Italy,,23957,16335
12,Cyprus,,437,210
13,Latvia,,2220,1573
14,Lithuania,,4017,2816
15,Luxembourg,,NaN,NaN
16,Hungary,,2648,1601
17,Malta,,15,8
18,Netherlands,,19870,13675
19,Austria,,3120,2184
20,Poland,,6724,3372
21,Portugal,,2489,2332
22,Romania,,2495,1573
23,Slovenia,,1851,1371
24,Slovakia,,1209,890
25,Finland,,1532,1595
26,Sweden,,NaN,NaN
27,United Kingdom,,8411,6057
28,Iceland,,18,15
29,Liechtenstein,,15,13
30,Norway,,3475,3917
31,Switzerland,,NaN,NaN
