,Region,530,535,542
0,Belgium,,3817,3568
1,Bulgaria,,1025,1668
2,Czechia,,1407,1620
3,Denmark,,3783,6266
4,Germany,,3600,3302
5,Estonia,,280,343
6,Ireland,,3701,4235
7,Greece,,9421,16328
8,Spain,,NaN,NaN
9,France,,15964,16744
10,Croatia,,477,445
11,Italy,,5324,5351
12,Cyprus,,7286,15683
13,Latvia,,381,354
14,Lithuania,,132,84
15,Luxembourg,,1231,3790
16,Hungary,,150,75
17,Malta,,72,117
18,Netherlands,,4030,3778
19,Austria,,525,490
20,Poland,,498,366
21,Portugal,,19779,27234
22,Romania,,268,195
23,Slovenia,,123,80
24,Slovakia,,NaN,NaN
25,Finland,,2232,3707
26,Sweden,,570,254
27,United Kingdom,,214583,254943
28,Iceland,,0,0
29,Liechtenstein,,21,39
30,Norway,,1192,906
31,Switzerland,,NaN,NaN
