,Region,705,710,717
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,113019,67922
5,Estonia,,4383,3900
6,Ireland,,NaN,NaN
7,Greece,,51306,64488
8,Spain,,NaN,NaN
9,France,,580059,665875
10,Croatia,,14736,11948
11,Italy,,321384,386838
12,Cyprus,,6941,8528
13,Latvia,,NaN,NaN
14,Lithuania,,8251,7032
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,10111,20076
18,Netherlands,,76186,65097
19,Austria,,10957,7548
20,Poland,,NaN,NaN
21,Portugal,,76915,110479
22,Romania,,NaN,NaN
23,Slovenia,,6482,5543
24,Slovakia,,16048,9443
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
