,Region,726,731,738
0,Belgium,,NaN,NaN
1,Bulgaria,,47707,53778
2,Czechia,,NaN,NaN
3,Denmark,,172688,184017
4,Germany,,554720,655692
5,Estonia,,18912,24171
6,Ireland,,NaN,NaN
7,Greece,,80916,35955
8,Spain,,NaN,NaN
9,France,,1642206,1049071
10,Croatia,,57211,63679
11,Italy,,1114340,954984
12,Cyprus,,15014,9207
13,Latvia,,20377,26740
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,1777,844
18,Netherlands,,264673,297989
19,Austria,,144177,179054
20,Poland,,106763,118117
21,Portugal,,254097,245216
22,Romania,,90171,132682
23,Slovenia,,65712,99791
24,Slovakia,,17458,15109
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,403326,189043
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,101844,144582
31,Switzerland,,NaN,NaN
