,Region,719,724,731
0,Belgium,,NaN,NaN
1,Bulgaria,,53233,82274
2,Czechia,,42993,43918
3,Denmark,,151217,163198
4,Germany,,408218,497458
5,Estonia,,15834,24893
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,1828131,1595541
10,Croatia,,62699,90475
11,Italy,,1188101,1141169
12,Cyprus,,NaN,NaN
13,Latvia,,15756,23843
14,Lithuania,,28147,42095
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,4218,2541
18,Netherlands,,261203,364800
19,Austria,,94694,157723
20,Poland,,77950,75644
21,Portugal,,NaN,NaN
22,Romania,,78848,166658
23,Slovenia,,44846,77635
24,Slovakia,,14832,10400
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,856347,478069
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,67612,98806
31,Switzerland,,NaN,NaN
