,Region,782,787,794
0,Belgium,,NaN,NaN
1,Bulgaria,,9887,8665
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,1392469,1208332
5,Estonia,,8594,4602
6,Ireland,,NaN,NaN
7,Greece,,155993,188197
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,8612,7064
11,Italy,,412456,480066
12,Cyprus,,26553,33023
13,Latvia,,29091,20280
14,Lithuania,,27412,24654
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,1077,1119
18,Netherlands,,NaN,NaN
19,Austria,,349510,413741
20,Poland,,69681,62085
21,Portugal,,NaN,NaN
22,Romania,,15544,9382
23,Slovenia,,14343,14981
24,Slovakia,,69483,61383
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
