,Region,481,486,493
0,Belgium,,12112,8936
1,Bulgaria,,2837,1941
2,Czechia,,5806,4060
3,Denmark,,7932,8271
4,Germany,,36470,21084
5,Estonia,,1667,1294
6,Ireland,,2622,2458
7,Greece,,13060,10379
8,Spain,,NaN,NaN
9,France,,65627,45435
10,Croatia,,3708,2078
11,Italy,,36834,26190
12,Cyprus,,881,437
13,Latvia,,NaN,NaN
14,Lithuania,,7656,7302
15,Luxembourg,,NaN,NaN
16,Hungary,,4849,3494
17,Malta,,NaN,NaN
18,Netherlands,,29650,21602
19,Austria,,4235,2764
20,Poland,,18028,13766
21,Portugal,,2150,2019
22,Romania,,4191,2806
23,Slovenia,,2297,1589
24,Slovakia,,2721,2579
25,Finland,,1152,964
26,Sweden,,NaN,NaN
27,United Kingdom,,16596,17288
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2620,2312
31,Switzerland,,NaN,NaN
