,Region,516,521,528
0,Belgium,,1927,1084
1,Bulgaria,,605,507
2,Czechia,,465,239
3,Denmark,,1019,525
4,Germany,,3707,1783
5,Estonia,,232,174
6,Ireland,,1998,1896
7,Greece,,2077,1217
8,Spain,,NaN,NaN
9,France,,9784,5660
10,Croatia,,349,195
11,Italy,,5551,3520
12,Cyprus,,510,572
13,Latvia,,526,309
14,Lithuania,,403,211
15,Luxembourg,,21,7
16,Hungary,,318,149
17,Malta,,NaN,NaN
18,Netherlands,,4214,2642
19,Austria,,587,325
20,Poland,,763,406
21,Portugal,,NaN,NaN
22,Romania,,333,198
23,Slovenia,,299,150
24,Slovakia,,125,51
25,Finland,,410,339
26,Sweden,,26,1
27,United Kingdom,,73633,80142
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
