,Region,740,745,752
0,Belgium,,NaN,NaN
1,Bulgaria,,57715,52163
2,Czechia,,328500,427899
3,Denmark,,388059,436936
4,Germany,,1085998,822967
5,Estonia,,63838,93736
6,Ireland,,NaN,NaN
7,Greece,,128719,123823
8,Spain,,NaN,NaN
9,France,,1658715,982086
10,Croatia,,56361,51497
11,Italy,,686672,426989
12,Cyprus,,NaN,NaN
13,Latvia,,80112,112367
14,Lithuania,,91262,130060
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,1189,696
18,Netherlands,,NaN,NaN
19,Austria,,285969,313258
20,Poland,,428469,507952
21,Portugal,,337393,232151
22,Romania,,233548,286856
23,Slovenia,,137486,169367
24,Slovakia,,172734,278859
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,534418,455816
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,125463,88476
31,Switzerland,,NaN,NaN
