,Region,544,549,556
0,Belgium,,9964,9446
1,Bulgaria,,840,1207
2,Czechia,,1457,1360
3,Denmark,,9590,13440
4,Germany,,12586,18154
5,Estonia,,287,269
6,Ireland,,10257,16643
7,Greece,,22974,28691
8,Spain,,133216,146106
9,France,,69449,105404
10,Croatia,,896,1038
11,Italy,,25944,41986
12,Cyprus,,7227,7102
13,Latvia,,232,188
14,Lithuania,,898,1522
15,Luxembourg,,342,223
16,Hungary,,NaN,NaN
17,Malta,,2696,5053
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,623,638
21,Portugal,,25679,29476
22,Romania,,501,557
23,Slovenia,,334,293
24,Slovakia,,396,580
25,Finland,,2476,3027
26,Sweden,,NaN,NaN
27,United Kingdom,,385581,470030
28,Iceland,,0,0
29,Liechtenstein,,1,0
30,Norway,,1095,1021
31,Switzerland,,NaN,NaN
