,Region,761,766,773
0,Belgium,,NaN,NaN
1,Bulgaria,,22795,16368
2,Czechia,,NaN,NaN
3,Denmark,,194803,135175
4,Germany,,931830,678513
5,Estonia,,36324,34283
6,Ireland,,NaN,NaN
7,Greece,,121734,117543
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,14016,8590
11,Italy,,281076,206410
12,Cyprus,,NaN,NaN
13,Latvia,,64812,61405
14,Lithuania,,35327,24594
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,92262,57212
21,Portugal,,62745,35592
22,Romania,,63766,37285
23,Slovenia,,18242,9774
24,Slovakia,,133195,121761
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,205135,122770
28,Iceland,,NaN,NaN
29,Liechtenstein,,803,769
30,Norway,,68320,40755
31,Switzerland,,NaN,NaN
