,Region,733,738,745
0,Belgium,,NaN,NaN
1,Bulgaria,,80230,102896
2,Czechia,,NaN,NaN
3,Denmark,,372632,478739
4,Germany,,949828,1064031
5,Estonia,,39503,61024
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,2022510,1351979
10,Croatia,,65429,73472
11,Italy,,1027726,810562
12,Cyprus,,NaN,NaN
13,Latvia,,50335,75693
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,1301,687
18,Netherlands,,NaN,NaN
19,Austria,,213327,282587
20,Poland,,334674,510382
21,Portugal,,410088,484430
22,Romania,,171256,232968
23,Slovenia,,NaN,NaN
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,160459,214919
31,Switzerland,,NaN,NaN
