,Region,467,472,479
0,Belgium,,17936,14718
1,Bulgaria,,6103,4504
2,Czechia,,12351,10004
3,Denmark,,5011,4902
4,Germany,,117150,102022
5,Estonia,,2130,1864
6,Ireland,,2919,2753
7,Greece,,9254,5131
8,Spain,,NaN,NaN
9,France,,110444,75047
10,Croatia,,10772,8742
11,Italy,,76176,67576
12,Cyprus,,2152,862
13,Latvia,,4711,5006
14,Lithuania,,9232,10100
15,Luxembourg,,NaN,NaN
16,Hungary,,9891,6838
17,Malta,,55,14
18,Netherlands,,37207,27228
19,Austria,,11781,10223
20,Poland,,27954,16220
21,Portugal,,2507,2091
22,Romania,,7663,4734
23,Slovenia,,4443,4196
24,Slovakia,,2686,2142
25,Finland,,1113,750
26,Sweden,,NaN,NaN
27,United Kingdom,,13580,12082
28,Iceland,,30,16
29,Liechtenstein,,NaN,NaN
30,Norway,,2331,1928
31,Switzerland,,NaN,NaN
