,Region,789,794,801
0,Belgium,,NaN,NaN
1,Bulgaria,,10177,9014
2,Czechia,,NaN,NaN
3,Denmark,,33871,20304
4,Germany,,1447103,1205972
5,Estonia,,7258,4554
6,Ireland,,NaN,NaN
7,Greece,,162163,168372
8,Spain,,NaN,NaN
9,France,,723276,817857
10,Croatia,,10582,10946
11,Italy,,588494,668047
12,Cyprus,,23849,24989
13,Latvia,,19311,12382
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,2475,3675
18,Netherlands,,289731,211213
19,Austria,,293349,243619
20,Poland,,67823,61707
21,Portugal,,NaN,NaN
22,Romania,,NaN,NaN
23,Slovenia,,21332,25341
24,Slovakia,,65231,57928
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,1577,1827
30,Norway,,15659,8877
31,Switzerland,,NaN,NaN
