,Region,621,626,633
0,Belgium,,NaN,NaN
1,Bulgaria,,15020,17639
2,Czechia,,3181,2971
3,Denmark,,3512,3866
4,Germany,,55380,55270
5,Estonia,,5913,6977
6,Ireland,,8308,7856
7,Greece,,14653,14278
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,9138,9728
11,Italy,,19232,16942
12,Cyprus,,NaN,NaN
13,Latvia,,9804,14030
14,Lithuania,,13940,16359
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,11076,10714
19,Austria,,14261,15765
20,Poland,,5831,5752
21,Portugal,,3434,2791
22,Romania,,94667,116196
23,Slovenia,,6004,5577
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,207465,168712
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2646,1881
31,Switzerland,,NaN,NaN
