,Region,684,689,696
0,Belgium,,NaN,NaN
1,Bulgaria,,12248,10605
2,Czechia,,NaN,NaN
3,Denmark,,29222,25651
4,Germany,,389415,373236
5,Estonia,,2624,1969
6,Ireland,,35532,36461
7,Greece,,37594,32820
8,Spain,,NaN,NaN
9,France,,334192,348505
10,Croatia,,22706,17271
11,Italy,,118299,139338
12,Cyprus,,NaN,NaN
13,Latvia,,3521,2483
14,Lithuania,,10574,9576
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,799,843
18,Netherlands,,145588,138879
19,Austria,,41587,27439
20,Poland,,162243,161208
21,Portugal,,25831,28954
22,Romania,,6377,4111
23,Slovenia,,9692,7079
24,Slovakia,,76675,74026
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,325312,332533
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,29845,37770
31,Switzerland,,NaN,NaN
