,Region,803,808,815
0,Belgium,,NaN,NaN
1,Bulgaria,,5419,4111
2,Czechia,,NaN,NaN
3,Denmark,,16039,10015
4,Germany,,1049063,740785
5,Estonia,,4949,3415
6,Ireland,,NaN,NaN
7,Greece,,106847,69650
8,Spain,,NaN,NaN
9,France,,870916,718002
10,Croatia,,7644,6570
11,Italy,,451107,410481
12,Cyprus,,NaN,NaN
13,Latvia,,6944,3683
14,Lithuania,,11030,7313
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,104673,62996
19,Austria,,NaN,NaN
20,Poland,,NaN,NaN
21,Portugal,,NaN,NaN
22,Romania,,15208,11527
23,Slovenia,,13470,9870
24,Slovakia,,34146,24033
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,6913,4188
31,Switzerland,,NaN,NaN
