,Region,768,773,780
0,Belgium,,NaN,NaN
1,Bulgaria,,14479,9629
2,Czechia,,NaN,NaN
3,Denmark,,120384,77212
4,Germany,,937946,740822
5,Estonia,,27167,21351
6,Ireland,,NaN,NaN
7,Greece,,84896,61770
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,7589,4097
11,Italy,,216748,140703
12,Cyprus,,NaN,NaN
13,Latvia,,58170,51323
14,Lithuania,,31939,24393
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,77017,51645
21,Portugal,,49512,32185
22,Romania,,41579,24377
23,Slovenia,,7161,3169
24,Slovakia,,91954,72421
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,80228,64177
31,Switzerland,,NaN,NaN
