,Region,677,682,689
0,Belgium,,NaN,NaN
1,Bulgaria,,14225,12486
2,Czechia,,NaN,NaN
3,Denmark,,30889,32850
4,Germany,,315059,195791
5,Estonia,,3132,2235
6,Ireland,,NaN,NaN
7,Greece,,43345,40804
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,29611,25940
11,Italy,,97497,116275
12,Cyprus,,NaN,NaN
13,Latvia,,5372,4823
14,Lithuania,,11479,10850
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,160738,164204
19,Austria,,53708,24685
20,Poland,,157800,135472
21,Portugal,,25391,30036
22,Romania,,10238,6937
23,Slovenia,,9655,4203
24,Slovakia,,79740,80771
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,317886,323696
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,20456,23269
31,Switzerland,,NaN,NaN
