,Region,628,633,640
0,Belgium,,NaN,NaN
1,Bulgaria,,15594,16896
2,Czechia,,4585,4310
3,Denmark,,4888,6029
4,Germany,,58018,58768
5,Estonia,,7790,9665
6,Ireland,,8287,7830
7,Greece,,16003,16354
8,Spain,,NaN,NaN
9,France,,21639,18067
10,Croatia,,9221,9269
11,Italy,,15229,11745
12,Cyprus,,NaN,NaN
13,Latvia,,12740,16740
14,Lithuania,,17315,20942
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,20205,26577
19,Austria,,12190,11741
20,Poland,,NaN,NaN
21,Portugal,,3786,3543
22,Romania,,87275,70733
23,Slovenia,,5205,4708
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,259613,266760
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2543,2135
31,Switzerland,,NaN,NaN
