,Region,523,528,535
0,Belgium,,2868,2677
1,Bulgaria,,333,225
2,Czechia,,834,779
3,Denmark,,887,604
4,Germany,,3039,1975
5,Estonia,,83,42
6,Ireland,,2361,2377
7,Greece,,1954,1469
8,Spain,,NaN,NaN
9,France,,8878,7190
10,Croatia,,461,397
11,Italy,,3162,1891
12,Cyprus,,NaN,NaN
13,Latvia,,258,142
14,Lithuania,,126,45
15,Luxembourg,,NaN,NaN
16,Hungary,,358,260
17,Malta,,11,10
18,Netherlands,,3046,2012
19,Austria,,587,453
20,Poland,,666,465
21,Portugal,,10240,11262
22,Romania,,255,169
23,Slovenia,,164,86
24,Slovakia,,320,294
25,Finland,,963,1301
26,Sweden,,NaN,NaN
27,United Kingdom,,137849,180828
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,1145,945
31,Switzerland,,197,73
