,Region,691,696,703
0,Belgium,,NaN,NaN
1,Bulgaria,,10972,9874
2,Czechia,,NaN,NaN
3,Denmark,,53609,67463
4,Germany,,292216,245684
5,Estonia,,3020,2748
6,Ireland,,25645,18557
7,Greece,,32507,28165
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,19312,15650
11,Italy,,126241,138283
12,Cyprus,,NaN,NaN
13,Latvia,,4214,3859
14,Lithuania,,10064,8973
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,108189,86978
19,Austria,,15827,7658
20,Poland,,144930,128137
21,Portugal,,30565,33495
22,Romania,,NaN,NaN
23,Slovenia,,7670,5770
24,Slovakia,,35097,17033
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,380068,401560
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,40168,50451
31,Switzerland,,NaN,NaN
