,Region,670,675,682
0,Belgium,,NaN,NaN
1,Bulgaria,,14230,11298
2,Czechia,,126656,155033
3,Denmark,,24968,19029
4,Germany,,410811,476496
5,Estonia,,4112,3045
6,Ireland,,NaN,NaN
7,Greece,,47303,47041
8,Spain,,NaN,NaN
9,France,,176043,254098
10,Croatia,,28481,22980
11,Italy,,79032,96115
12,Cyprus,,NaN,NaN
13,Latvia,,4092,2643
14,Lithuania,,9280,6695
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,178660,207687
19,Austria,,116785,132180
20,Poland,,172858,213037
21,Portugal,,20671,28712
22,Romania,,12011,6558
23,Slovenia,,NaN,NaN
24,Slovakia,,84843,98019
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,294533,299654
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,16401,19104
31,Switzerland,,NaN,NaN
