,Region,537,542,549
0,Belgium,,6053,5675
1,Bulgaria,,263,144
2,Czechia,,1108,1034
3,Denmark,,5836,8766
4,Germany,,6271,6896
5,Estonia,,553,913
6,Ireland,,4290,5072
7,Greece,,24887,44782
8,Spain,,NaN,NaN
9,France,,36638,45562
10,Croatia,,568,518
11,Italy,,NaN,NaN
12,Cyprus,,10629,17734
13,Latvia,,152,80
14,Lithuania,,594,1035
15,Luxembourg,,NaN,NaN
16,Hungary,,128,70
17,Malta,,2621,12758
18,Netherlands,,138829,359410
19,Austria,,NaN,NaN
20,Poland,,382,236
21,Portugal,,22816,27309
22,Romania,,262,220
23,Slovenia,,932,2087
24,Slovakia,,272,363
25,Finland,,1815,2067
26,Sweden,,875,620
27,United Kingdom,,254192,294620
28,Iceland,,0,0
29,Liechtenstein,,19,20
30,Norway,,2585,4011
31,Switzerland,,NaN,NaN
