,Region,600,605,612
0,Belgium,,NaN,NaN
1,Bulgaria,,9331,8974
2,Czechia,,1835,1713
3,Denmark,,2431,1638
4,Germany,,58808,50427
5,Estonia,,3531,4262
6,Ireland,,11789,15135
7,Greece,,12072,9584
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,7688,9766
11,Italy,,30672,26193
12,Cyprus,,786,496
13,Latvia,,3540,4567
14,Lithuania,,6797,8137
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,14794,16530
20,Poland,,2495,2343
21,Portugal,,6252,4328
22,Romania,,21155,30598
23,Slovenia,,8499,12225
24,Slovakia,,3854,4954
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,255911,253177
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,7263,5174
31,Switzerland,,NaN,NaN
