,Region,614,619,626
0,Belgium,,NaN,NaN
1,Bulgaria,,10198,9869
2,Czechia,,2798,2623
3,Denmark,,2161,2040
4,Germany,,47991,41648
5,Estonia,,4502,5279
6,Ireland,,9068,8813
7,Greece,,13902,12848
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,7694,7386
11,Italy,,19182,13835
12,Cyprus,,NaN,NaN
13,Latvia,,5226,6448
14,Lithuania,,11300,13370
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,9647,7917
19,Austria,,9563,7711
20,Poland,,6171,7123
21,Portugal,,3172,1924
22,Romania,,63229,86133
23,Slovenia,,NaN,NaN
24,Slovakia,,8788,12434
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,239533,243534
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,3627,2727
31,Switzerland,,NaN,NaN
