,Region,712,717,724
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,162316,143346
5,Estonia,,6959,8444
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,1571498,1704500
10,Croatia,,24941,27670
11,Italy,,1001916,1299914
12,Cyprus,,NaN,NaN
13,Latvia,,5712,6261
14,Lithuania,,12861,15169
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,13323,21124
18,Netherlands,,112843,130016
19,Austria,,NaN,NaN
20,Poland,,59304,46408
21,Portugal,,231977,343135
22,Romania,,5229,4901
23,Slovenia,,12897,16271
24,Slovakia,,20832,17561
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,25008,25920
31,Switzerland,,NaN,NaN
