,Region,635,640,647
0,Belgium,,NaN,NaN
1,Bulgaria,,25547,32813
2,Czechia,,12487,17337
3,Denmark,,5140,5021
4,Germany,,67995,72600
5,Estonia,,9676,11770
6,Ireland,,14926,18502
7,Greece,,19289,21438
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,10394,11035
11,Italy,,16185,14933
12,Cyprus,,NaN,NaN
13,Latvia,,20751,29292
14,Lithuania,,16009,13857
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,32195,43819
19,Austria,,16257,17875
20,Poland,,NaN,NaN
21,Portugal,,4088,3838
22,Romania,,108399,116549
23,Slovenia,,7260,8168
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,320823,350545
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2407,2121
31,Switzerland,,NaN,NaN
