,Region,656,661,668
0,Belgium,,NaN,NaN
1,Bulgaria,,27822,24713
2,Czechia,,73562,100548
3,Denmark,,NaN,NaN
4,Germany,,199802,231624
5,Estonia,,NaN,NaN
6,Ireland,,27524,28335
7,Greece,,64692,92599
8,Spain,,NaN,NaN
9,France,,62015,76894
10,Croatia,,39847,49277
11,Italy,,38904,42686
12,Cyprus,,NaN,NaN
13,Latvia,,10613,8045
14,Lithuania,,17083,15045
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,85409,100836
19,Austria,,78690,114896
20,Poland,,102197,135579
21,Portugal,,8434,10191
22,Romania,,40681,25984
23,Slovenia,,28945,38368
24,Slovakia,,46605,60154
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,206344,168783
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,12644,16739
31,Switzerland,,NaN,NaN
