,Region,509,514,521
0,Belgium,,3606,2108
1,Bulgaria,,656,485
2,Czechia,,1128,751
3,Denmark,,2151,1203
4,Germany,,10946,7939
5,Estonia,,245,144
6,Ireland,,1879,1486
7,Greece,,3867,2557
8,Spain,,NaN,NaN
9,France,,16820,9988
10,Croatia,,710,465
11,Italy,,10144,7773
12,Cyprus,,405,406
13,Latvia,,901,634
14,Lithuania,,791,442
15,Luxembourg,,136,96
16,Hungary,,490,240
17,Malta,,6,2
18,Netherlands,,6189,3687
19,Austria,,1484,1160
20,Poland,,1653,1138
21,Portugal,,3907,3660
22,Romania,,637,423
23,Slovenia,,813,546
24,Slovakia,,509,409
25,Finland,,401,257
26,Sweden,,NaN,NaN
27,United Kingdom,,66260,86298
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,738,416
31,Switzerland,,NaN,NaN
