,Region,474,479,486
0,Belgium,,19364,18376
1,Bulgaria,,4121,3022
2,Czechia,,8934,6763
3,Denmark,,6815,7373
4,Germany,,81254,62657
5,Estonia,,NaN,NaN
6,Ireland,,2498,2094
7,Greece,,15858,17187
8,Spain,,NaN,NaN
9,France,,82965,57442
10,Croatia,,6936,4842
11,Italy,,54325,43271
12,Cyprus,,2299,1616
13,Latvia,,3804,3498
14,Lithuania,,7940,7345
15,Luxembourg,,NaN,NaN
16,Hungary,,5936,3774
17,Malta,,80,51
18,Netherlands,,48773,47171
19,Austria,,6146,3757
20,Poland,,17264,9948
21,Portugal,,1883,1476
22,Romania,,6194,4403
23,Slovenia,,4066,3710
24,Slovakia,,2382,1969
25,Finland,,1476,1467
26,Sweden,,NaN,NaN
27,United Kingdom,,13579,12720
28,Iceland,,9,3
29,Liechtenstein,,NaN,NaN
30,Norway,,2764,2744
31,Switzerland,,NaN,NaN
