,Region,754,759,766
0,Belgium,,NaN,NaN
1,Bulgaria,,31655,23756
2,Czechia,,97344,45017
3,Denmark,,346698,366750
4,Germany,,1032532,692465
5,Estonia,,23956,10503
6,Ireland,,NaN,NaN
7,Greece,,125096,122904
8,Spain,,NaN,NaN
9,France,,482251,225328
10,Croatia,,27012,19440
11,Italy,,329563,202695
12,Cyprus,,NaN,NaN
13,Latvia,,76512,82534
14,Lithuania,,58868,49569
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,780,546
18,Netherlands,,NaN,NaN
19,Austria,,193718,154257
20,Poland,,128143,61626
21,Portugal,,86486,34684
22,Romania,,107582,64089
23,Slovenia,,32921,17609
24,Slovakia,,176586,190380
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,890,893
30,Norway,,141825,143333
31,Switzerland,,NaN,NaN
