,Region,775,780,787
0,Belgium,,NaN,NaN
1,Bulgaria,,8214,5061
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,1025270,899053
5,Estonia,,17550,12026
6,Ireland,,NaN,NaN
7,Greece,,99183,95432
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,6234,4126
11,Italy,,214371,178998
12,Cyprus,,NaN,NaN
13,Latvia,,39276,27655
14,Lithuania,,24105,18202
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,589375,739554
19,Austria,,223764,241788
20,Poland,,62925,46421
21,Portugal,,NaN,NaN
22,Romania,,24330,14251
23,Slovenia,,NaN,NaN
24,Slovakia,,66485,50008
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,1899,2998
30,Norway,,56351,41069
31,Switzerland,,NaN,NaN
