,Region,551,556,563
0,Belgium,,7282,6484
1,Bulgaria,,1145,1549
2,Czechia,,1266,1059
3,Denmark,,4206,3050
4,Germany,,12974,14157
5,Estonia,,918,1437
6,Ireland,,10729,13021
7,Greece,,18125,17544
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,1380,1793
11,Italy,,35977,34642
12,Cyprus,,5965,5112
13,Latvia,,330,327
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,283,266
17,Malta,,953,613
18,Netherlands,,34270,22228
19,Austria,,2181,2041
20,Poland,,748,689
21,Portugal,,22402,22074
22,Romania,,919,1362
23,Slovenia,,503,529
24,Slovakia,,383,535
25,Finland,,3434,4370
26,Sweden,,NaN,NaN
27,United Kingdom,,184105,94695
28,Iceland,,NaN,NaN
29,Liechtenstein,,30,65
30,Norway,,1966,2274
31,Switzerland,,3747,4152
