,Region,747,752,759
0,Belgium,,NaN,NaN
1,Bulgaria,,45357,37969
2,Czechia,,246326,205936
3,Denmark,,286177,262004
4,Germany,,1363192,1221769
5,Estonia,,63988,80460
6,Ireland,,NaN,NaN
7,Greece,,119655,107305
8,Spain,,NaN,NaN
9,France,,977355,482408
10,Croatia,,34584,21411
11,Italy,,474519,298676
12,Cyprus,,NaN,NaN
13,Latvia,,71749,82014
14,Lithuania,,86731,99117
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,1283,1097
18,Netherlands,,NaN,NaN
19,Austria,,235043,231297
20,Poland,,207989,103169
21,Portugal,,202196,108122
22,Romania,,223448,237843
23,Slovenia,,NaN,NaN
24,Slovakia,,178895,211503
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,1559,1893
30,Norway,,107351,78903
31,Switzerland,,NaN,NaN
