,Region,460,465,472
0,Belgium,,23839,22458
1,Bulgaria,,8390,6225
2,Czechia,,13352,10068
3,Denmark,,3168,1431
4,Germany,,131944,130060
5,Estonia,,2094,1504
6,Ireland,,3266,3469
7,Greece,,15714,13690
8,Spain,,NaN,NaN
9,France,,179152,149629
10,Croatia,,14888,14418
11,Italy,,83137,74403
12,Cyprus,,7348,8901
13,Latvia,,4254,4478
14,Lithuania,,7858,7949
15,Luxembourg,,NaN,NaN
16,Hungary,,12305,7330
17,Malta,,133,76
18,Netherlands,,53441,44007
19,Austria,,13755,12281
20,Poland,,45794,26970
21,Portugal,,3167,2963
22,Romania,,13101,9511
23,Slovenia,,4461,3899
24,Slovakia,,3241,2554
25,Finland,,1397,1116
26,Sweden,,NaN,NaN
27,United Kingdom,,16389,15868
28,Iceland,,163,333
29,Liechtenstein,,101,110
30,Norway,,2507,1934
31,Switzerland,,7251,5415
