,Region,495,500,507
0,Belgium,,9514,6920
1,Bulgaria,,1206,874
2,Czechia,,2359,1560
3,Denmark,,6650,6372
4,Germany,,23705,16235
5,Estonia,,585,342
6,Ireland,,0,0
7,Greece,,11212,10667
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,1367,811
11,Italy,,18159,13065
12,Cyprus,,264,122
13,Latvia,,1568,1075
14,Lithuania,,2413,1582
15,Luxembourg,,208,161
16,Hungary,,1042,483
17,Malta,,17,13
18,Netherlands,,14312,9514
19,Austria,,2469,1831
20,Poland,,3683,1948
21,Portugal,,2930,2742
22,Romania,,1226,673
23,Slovenia,,1522,1193
24,Slovakia,,542,344
25,Finland,,686,464
26,Sweden,,NaN,NaN
27,United Kingdom,,33607,48895
28,Iceland,,0,0
29,Liechtenstein,,4,2
30,Norway,,2070,1553
31,Switzerland,,3353,2269
