,State,425,430,437,444,451
0,Washington,NaN,4813,4751,4125,3953
1,Illinois,NaN,12946,11420,11287,9123
2,California,NaN,17929,14258,7800,5738
3,Arizona,NaN,3625,3661,1771,2659
4,Massachusetts,NaN,10957,10559,10363,8219
5,Wisconsin,NaN,3755,3440,2822,2609
6,Texas,NaN,27194,26716,21246,20255
7,Nebraska,NaN,1723,1646,1367,1294
8,Utah,NaN,2148,1823,1489,849
9,Oregon,NaN,1947,1748,1581,1523
10,Florida,NaN,22529,20161,17059,13373
11,New York,NaN,41741,39243,31103,28847
12,Rhode Island,NaN,2506,2403,2473,2261
13,Georgia,NaN,9284,7794,5498,4226
14,New Hampshire,NaN,1892,1872,1672,1101
15,North Carolina,NaN,9950,8109,6160,6264
16,New Jersey,NaN,27607,26768,25899,25908
17,Colorado,NaN,7011,6919,6077,5238
18,Maryland,NaN,6694,6522,6526,5454
19,Nevada,NaN,2254,2223,1790,1520
20,Tennessee,NaN,7959,7308,6856,6700
21,Hawaii,NaN,548,513,525,352
22,Indiana,NaN,5191,4855,4371,3906
23,Kentucky,NaN,4328,3890,2988,2671
24,Minnesota,NaN,8032,8772,9384,10102
25,Oklahoma,NaN,1036,700,453,404
26,Pennsylvania,NaN,20369,20232,18215,19409
27,South Carolina,NaN,6618,5293,3618,2735
28,District of Columbia,NaN,930,996,870,710
29,Kansas,NaN,1315,1118,672,501
30,Missouri,NaN,3673,5083,7488,6637
31,Vermont,NaN,752,693,623,642
32,Virginia,NaN,8731,7914,6532,5924
33,Connecticut,NaN,5879,5504,5581,5232
34,Iowa,NaN,2921,2551,2053,1519
35,Louisiana,NaN,3087,2819,2659,2474
36,Ohio,NaN,10036,9132,8798,7925
37,Michigan,NaN,22227,23918,24555,26422
38,South Dakota,NaN,1198,1238,1193,1106
39,Arkansas,NaN,1920,1422,1006,1050
40,Delaware,NaN,1769,1643,1558,1712
41,Mississippi,NaN,2182,1914,1626,1280
42,New Mexico,NaN,1191,967,779,750
43,North Dakota,NaN,604,629,631,714
44,Wyoming,NaN,406,344,355,370
45,Alaska,NaN,929,867,766,787
46,Maine,NaN,1345,1376,1406,1273
47,Alabama,NaN,7568,6474,6006,6802
48,Idaho,NaN,2294,2138,2146,1894
49,Montana,NaN,1118,1108,987,711
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2315,2107,2192,1865
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
