,Region,488,493,500
0,Belgium,,15699,14523
1,Bulgaria,,1374,876
2,Czechia,,NaN,NaN
3,Denmark,,7884,7910
4,Germany,,43586,33233
5,Estonia,,1227,952
6,Ireland,,NaN,NaN
7,Greece,,11476,10030
8,Spain,,NaN,NaN
9,France,,43126,30726
10,Croatia,,2240,1449
11,Italy,,NaN,NaN
12,Cyprus,,NaN,NaN
13,Latvia,,2567,2121
14,Lithuania,,4934,4066
15,Luxembourg,,NaN,NaN
16,Hungary,,2804,1839
17,Malta,,7,4
18,Netherlands,,23128,17573
19,Austria,,NaN,NaN
20,Poland,,NaN,NaN
21,Portugal,,3828,4416
22,Romania,,2491,1627
23,Slovenia,,1838,1405
24,Slovakia,,NaN,NaN
25,Finland,,1449,1387
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,5076,6765
31,Switzerland,,NaN,NaN
