,Region,481,486,493
0,Belgium,,13207,10434
1,Bulgaria,,2279,1494
2,Czechia,,5188,3677
3,Denmark,,8806,9661
4,Germany,,59905,46244
5,Estonia,,1586,1241
6,Ireland,,2757,2507
7,Greece,,13643,12182
8,Spain,,NaN,NaN
9,France,,75527,58735
10,Croatia,,3816,2593
11,Italy,,37908,28112
12,Cyprus,,874,493
13,Latvia,,3764,3429
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,4669,3239
17,Malta,,14,7
18,Netherlands,,29871,22343
19,Austria,,4289,2914
20,Poland,,NaN,NaN
21,Portugal,,2866,2974
22,Romania,,4091,2771
23,Slovenia,,2623,2101
24,Slovakia,,NaN,NaN
25,Finland,,1428,1342
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,2656,2357
31,Switzerland,,NaN,NaN
