,State,165,171,178,185,192,199
0,Washington,35898,3697,4587,5547,6427,7150
1,Illinois,147251,12909,14864,16588,17709,18102
2,California,264681,45255,50541,53757,54570,53290
3,Arizona,98103,11391,12122,12340,12012,11287
4,Massachusetts,105192,4274,4481,4661,4756,4741
5,Wisconsin,31577,3917,4715,5464,6024,6363
6,Texas,197421,27907,30722,32444,32917,32271
7,Nebraska,19929,1697,1709,1694,1645,1571
8,Utah,24952,2607,3002,3294,3482,3557
9,Oregon,10230,2343,3092,3815,4391,4770
10,Florida,200111,22179,23808,24611,24642,23958
11,New York,397131,14720,16635,18440,19759,20420
12,Rhode Island,16991,212,259,314,372,428
13,Georgia,95516,8292,8542,8571,8407,8065
14,New Hampshire,5897,788,958,1138,1320,1462
15,North Carolina,75216,10622,12235,13491,14248,14448
16,New Jersey,173402,8878,10354,11944,13274,14046
17,Colorado,34048,3042,3272,3448,3542,3556
18,Maryland,69632,6369,6916,7286,7381,7164
19,Nevada,22418,3688,4275,4678,4828,4720
20,Tennessee,51316,5308,5719,5944,5996,5903
21,Hawaii,1023,58,90,148,254,421
22,Indiana,48201,5318,5802,6167,6359,6370
23,Kentucky,16376,3278,3978,4605,5057,5310
24,Minnesota,38136,5641,6618,7465,8000,8084
25,Oklahoma,15931,1441,1489,1517,1525,1518
26,Pennsylvania,94403,8314,9297,10190,10827,11130
27,South Carolina,44847,5188,5694,5980,6037,5870
28,District of Columbia,10482,777,1001,1231,1417,1529
29,Kansas,16081,1946,2266,2547,2756,2860
30,Missouri,23816,3142,3532,3860,4081,4176
31,Vermont,1249,101,133,170,212,249
32,Virginia,65748,6747,8534,10557,12339,13546
33,Connecticut,46717,2170,2456,2751,3022,3221
34,Iowa,31517,2088,2008,1913,1799,1675
35,Louisiana,65226,6757,7317,7509,7373,6928
36,Ohio,57150,12615,15503,18021,19649,20230
37,Michigan,72941,7837,9506,11067,12284,13050
38,South Dakota,7063,578,581,578,562,530
39,Arkansas,23814,1989,1999,1980,1916,1836
40,Delaware,12128,1723,2030,2262,2357,2295
41,Mississippi,30900,2784,2820,2792,2709,2577
42,New Mexico,13256,1726,2164,2615,2959,3161
43,North Dakota,3816,371,370,370,361,347
44,Wyoming,1634,127,126,124,124,121
45,Alaska,1134,231,275,312,344,364
46,Maine,3415,399,514,658,816,967
47,Alabama,43953,5829,6085,6154,6061,5806
48,Idaho,7733,858,1013,1151,1277,1360
49,Montana,1212,299,358,418,472,503
50,Puerto Rico,7916,294,284,277,279,283
51,Virgin Islands,111,3,3,3,3,4
52,Guam,280,4,4,4,4,3
53,West Virginia,3262,609,729,849,950,1027
54,Northern Mariana Islands,31,1,1,1,1,1
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
