,State,207,213,220,227,234,241
0,Washington,67461,6178,6746,7207,7461,7508
1,Illinois,207412,12518,13597,14347,14731,14775
2,California,623873,50228,53066,54622,54445,52547
3,Arizona,193537,5915,5562,5232,4828,4343
4,Massachusetts,116179,1500,1617,1797,2010,2238
5,Wisconsin,65741,6874,7169,7276,7231,7055
6,Texas,555394,43452,42314,40278,37426,34010
7,Nebraska,30372,1732,1796,1829,1813,1763
8,Utah,46652,2769,2696,2572,2427,2263
9,Oregon,23262,4101,4274,4367,4374,4308
10,Florida,573416,37580,34471,31169,27790,24535
11,New York,425508,7232,9362,12312,15524,18183
12,Rhode Island,20335,192,259,328,400,491
13,Georgia,237030,16880,16552,15828,14741,13439
14,New Hampshire,6988,326,380,435,490,536
15,North Carolina,148906,12983,12678,12147,11454,10631
16,New Jersey,187455,3376,3770,4150,4478,4741
17,Colorado,53157,3826,4216,4560,4813,4933
18,Maryland,100212,4717,4699,4621,4460,4245
19,Nevada,61305,4173,3963,3711,3403,3077
20,Tennessee,133708,12145,11800,11226,10467,9613
21,Hawaii,5042,2326,2679,2923,3041,3057
22,Indiana,80415,7888,8253,8407,8363,8156
23,Kentucky,38930,4865,5753,6617,7114,7139
24,Minnesota,65152,4988,5074,5083,5031,4889
25,Oklahoma,48342,7623,7699,7574,7263,6848
26,Pennsylvania,129070,8878,10544,12484,14260,15406
27,South Carolina,106497,8650,8005,7323,6628,5949
28,District of Columbia,13220,383,404,422,442,451
29,Kansas,33885,4062,4213,4269,4216,4093
30,Missouri,68196,8983,9435,9625,9498,9178
31,Vermont,1515,143,171,195,217,236
32,Virginia,106687,7644,8253,8716,8956,8958
33,Connecticut,50897,943,1004,1064,1119,1161
34,Iowa,52447,3688,3727,3703,3598,3431
35,Louisiana,137918,6397,6299,6101,5725,5238
36,Ohio,108287,12486,13184,13603,13681,13484
37,Michigan,102259,8701,10068,11276,12143,12583
38,South Dakota,10274,459,433,403,372,346
39,Arkansas,52665,4527,4486,4344,4103,3821
40,Delaware,16451,642,634,622,605,581
41,Mississippi,72136,5717,5417,5033,4616,4175
42,New Mexico,23408,1635,1728,1814,1867,1862
43,North Dakota,8587,954,949,924,867,802
44,Wyoming,3286,344,370,386,391,391
45,Alaska,4259,977,1033,1067,1080,1063
46,Maine,4168,213,245,286,326,364
47,Alabama,108433,8791,8248,7620,6954,6269
48,Idaho,27656,4369,4391,4220,3923,3544
49,Montana,5750,1076,1143,1182,1190,1167
50,Puerto Rico,26006,1213,1381,1495,1511,1384
51,Virgin Islands,741,36,39,40,40,40
52,Guam,502,19,21,24,27,29
53,West Virginia,8567,1441,1759,2044,2247,2342
54,Northern Mariana Islands,50,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
