,State,382,388,395,402,409,416
0,Washington,320146,9918,8887,7858,6848,5876
1,Illinois,1146346,19750,16512,13602,11028,8792
2,California,3417982,66145,45118,30364,20143,13159
3,Arizona,780637,20615,15115,10917,7767,5441
4,Massachusetts,543934,16292,12860,10039,7748,5910
5,Wisconsin,600782,8178,6800,5569,4486,3549
6,Texas,2494861,104106,91136,78525,66619,55667
7,Nebraska,193722,2769,2273,1847,1486,1184
8,Utah,354608,6592,5030,3795,2831,2088
9,Oregon,147122,4179,3668,3183,2727,2307
10,Florida,1777983,52365,44006,36508,29889,24145
11,New York,1480224,54673,44052,34987,27389,21128
12,Rhode Island,117891,3641,3130,2658,2229,1846
13,Georgia,940991,27645,21706,16716,12607,9300
14,New Hampshire,68379,2395,1876,1455,1116,847
15,North Carolina,796195,33647,29297,25007,20885,17044
16,New Jersey,722167,23849,20048,16613,13561,10900
17,Colorado,405330,7446,6189,5085,4129,3312
18,Maryland,363650,7769,5988,4566,3441,2562
19,Nevada,284042,4470,3322,2437,1763,1256
20,Tennessee,744600,13355,10522,8213,6352,4871
21,Hawaii,26684,552,468,392,324,264
22,Indiana,639711,10114,7668,5738,4233,3077
23,Kentucky,377790,13067,10983,9103,7436,5986
24,Minnesota,468118,4446,3463,2665,2023,1513
25,Oklahoma,403954,12568,10448,8540,6861,5415
26,Pennsylvania,873146,27396,23417,19751,16428,13468
27,South Carolina,466373,20805,17833,15002,12376,10005
28,District of Columbia,38035,1121,954,801,663,541
29,Kansas,283926,5444,4288,3342,2574,1960
30,Missouri,481929,8582,7365,6256,5259,4373
31,Vermont,12900,1029,1020,998,965,921
32,Virginia,529125,21036,17140,13745,10834,8385
33,Connecticut,259372,10750,9558,8337,7124,5959
34,Iowa,324590,4692,3903,3218,2630,2130
35,Louisiana,411812,10271,8307,6632,5226,4061
36,Ohio,920217,22557,18266,14612,11542,8999
37,Michigan,620685,9295,7628,6184,4948,3904
38,South Dakota,109229,857,672,522,400,304
39,Arkansas,306736,8659,7148,5799,4617,3606
40,Delaware,80594,2216,1730,1327,999,737
41,Mississippi,281678,6007,4599,3473,2584,1892
42,New Mexico,177556,3781,3143,2568,2058,1616
43,North Dakota,98155,384,282,205,147,105
44,Wyoming,52627,800,651,524,416,325
45,Alaska,55259,856,686,539,416,314
46,Maine,41219,1617,1246,949,715,531
47,Alabama,472423,12752,10761,8944,7314,5880
48,Idaho,165209,2111,1625,1239,936,700
49,Montana,95790,1566,1308,1081,882,712
50,Puerto Rico,95839,1572,1165,856,623,449
51,Virgin Islands,2466,NaN,NaN,NaN,NaN,NaN
52,Guam,7636,NaN,NaN,NaN,NaN,NaN
53,West Virginia,124708,3285,2501,1875,1384,1005
54,Northern Mariana Islands,133,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
