,State,277,283,290,297,304,311
0,Washington,102913,5111,5538,5997,6487,7010
1,Illinois,378958,44478,60547,81788,109343,144166
2,California,906596,24380,24791,25190,25577,25951
3,Arizona,238163,6479,7259,8122,9074,10122
4,Massachusetts,150565,6517,7497,8612,9877,11306
5,Wisconsin,198166,37376,46693,57639,70106,83745
6,Texas,892006,41797,46356,51308,56659,62411
7,Nebraska,63797,7229,8457,9833,11354,13003
8,Utah,104882,10385,11240,12112,12989,13857
9,Oregon,42101,2012,1872,1741,1618,1504
10,Florida,778636,28138,32916,38427,44752,51969
11,New York,495464,15583,18766,22568,27097,32471
12,Rhode Island,30118,2515,3200,4055,5108,6389
13,Georgia,350923,10404,11449,12576,13794,15106
14,New Hampshire,10328,842,1029,1256,1531,1863
15,North Carolina,260099,16763,18677,20761,23020,25452
16,New Jersey,228468,8824,10499,12471,14784,17487
17,Colorado,95066,9843,11937,14435,17395,20874
18,Maryland,140279,4941,5300,5678,6077,6495
19,Nevada,95703,5886,6856,7961,9211,10614
20,Tennessee,247587,18699,21470,24547,27929,31601
21,Hawaii,14672,551,524,498,473,449
22,Indiana,162607,20469,26647,34478,44267,56271
23,Kentucky,96942,9922,11195,12591,14109,15744
24,Minnesota,133802,13342,15465,17860,20539,23504
25,Oklahoma,116736,9571,10120,10666,11205,11730
26,Pennsylvania,198713,14625,17539,20994,25073,29865
27,South Carolina,170678,6153,6130,6100,6061,6015
28,District of Columbia,16767,506,565,630,703,782
29,Kansas,75816,4728,4830,4925,5011,5089
30,Missouri,171796,15646,17316,19094,20971,22930
31,Vermont,2073,119,149,187,234,293
32,Virginia,173371,7994,8552,9137,9749,10388
33,Connecticut,66052,4622,6072,7956,10391,13510
34,Iowa,116238,8555,9106,9657,10203,10736
35,Louisiana,179842,3813,3845,3874,3899,3921
36,Ohio,198115,19386,24192,30102,37316,46049
37,Michigan,175612,18694,24104,30966,39601,50347
38,South Dakota,39203,6404,7494,8666,9883,11092
39,Arkansas,106115,7076,7403,7722,8030,8322
40,Delaware,23961,1094,1165,1240,1317,1396
41,Mississippi,115088,7225,8534,10041,11757,13691
42,New Mexico,41863,7177,10242,14498,20287,27935
43,North Dakota,37719,6986,8542,10270,12098,13913
44,Wyoming,11041,2265,2815,3474,4250,5144
45,Alaska,14070,1945,2319,2753,3251,3817
46,Maine,6199,273,289,307,325,344
47,Alabama,184355,11415,13430,15740,18365,21316
48,Idaho,59344,7891,9749,11950,14503,17394
49,Montana,27880,6433,7814,9396,11156,13049
50,Puerto Rico,62503,2240,1912,1632,1393,1188
51,Virgin Islands,1346,NaN,NaN,NaN,NaN,NaN
52,Guam,4141,NaN,NaN,NaN,NaN,NaN
53,West Virginia,21907,2384,2764,3197,3689,4246
54,Northern Mariana Islands,88,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
