,State,368,374,381,388,395,402
0,Washington,300198,14251,13676,13094,12508,11923
1,Illinois,1101819,28582,25345,22414,19774,17408
2,California,3187475,205661,183069,161730,141924,123810
3,Arizona,722574,37855,33960,30271,26831,23663
4,Massachusetts,500037,28953,27897,26748,25526,24250
5,Wisconsin,581377,11357,9827,8486,7316,6299
6,Texas,2250421,148226,135910,123571,111473,99848
7,Nebraska,187147,4357,3708,3143,2655,2236
8,Utah,336405,14792,13817,12825,11834,10861
9,Oregon,138168,5307,4877,4474,4098,3748
10,Florida,1649449,77715,69410,61815,54826,48467
11,New York,1335695,114695,118270,120542,121399,120793
12,Rhode Island,109735,5255,4858,4465,4083,3716
13,Georgia,866911,52405,47752,43165,38672,34384
14,New Hampshire,62337,5041,4928,4798,4652,4492
15,North Carolina,718812,50358,49016,47386,45519,43455
16,New Jersey,662808,36912,36095,35061,33837,32452
17,Colorado,386285,10232,8851,7642,6586,5669
18,Maryland,341452,18414,18195,17898,17528,17092
19,Nevada,270907,10521,9466,8474,7552,6703
20,Tennessee,708717,22560,18321,14817,11943,9601
21,Hawaii,25379,1192,1256,1322,1389,1458
22,Indiana,611039,23750,21526,19437,17490,15690
23,Kentucky,346138,20624,19994,19231,18356,17394
24,Minnesota,454989,7844,6359,5148,4163,3363
25,Oklahoma,373090,15804,13322,11194,9363,7806
26,Pennsylvania,807102,37627,33447,29555,25979,22729
27,South Carolina,418325,35898,36963,37547,37620,37173
28,District of Columbia,35301,1795,1779,1757,1730,1697
29,Kansas,268908,10603,9773,8972,8205,7479
30,Missouri,461912,12986,11661,10439,9319,8300
31,Vermont,11033,1093,1154,1216,1277,1339
32,Virginia,472447,39114,39712,40057,40128,39925
33,Connecticut,237815,14885,14495,14046,13545,13001
34,Iowa,313137,8417,7957,7478,6989,6499
35,Louisiana,383862,14491,12204,10255,8588,7171
36,Ohio,864322,40340,36998,33815,30809,27990
37,Michigan,596746,12614,10728,9113,7734,6558
38,South Dakota,107148,1408,1163,959,790,650
39,Arkansas,284066,12896,11167,9614,8243,7042
40,Delaware,74575,4478,4282,4068,3842,3607
41,Mississippi,264219,11657,10444,9308,8259,7300
42,New Mexico,169205,6288,5611,4988,4421,3907
43,North Dakota,96817,704,538,411,314,240
44,Wyoming,50898,1169,979,819,684,570
45,Alaska,53315,1206,1024,868,735,622
46,Maine,36598,4012,4072,4119,4151,4169
47,Alabama,441170,13358,10085,7592,5704,4278
48,Idaho,159506,4124,3597,3129,2716,2353
49,Montana,91652,2106,1819,1567,1349,1159
50,Puerto Rico,91028,3264,2905,2580,2288,2025
51,Virgin Islands,2341,NaN,NaN,NaN,NaN,NaN
52,Guam,7547,NaN,NaN,NaN,NaN,NaN
53,West Virginia,115307,5833,5119,4473,3893,3378
54,Northern Mariana Islands,129,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
