,County,257,262,269
0,01001,1831,20,18
1,01003,6085,76,76
2,01005,921,0,0
3,01007,687,0,8
4,01009,1662,6,21
5,01011,613,8,6
6,01013,927,9,12
7,01015,3705,126,181
8,01017,1208,0,0
9,01019,642,4,9
10,01021,1661,14,14
11,01023,366,9,8
12,01025,1158,0,0
13,01027,613,1,4
14,01029,428,5,5
15,01031,1472,47,24
16,01033,1744,85,121
17,01035,540,0,1
18,01037,179,6,5
19,01039,1480,12,12
20,01041,547,1,2
21,01043,1971,35,19
22,01045,1513,103,142
23,01047,1808,0,0
24,01049,2623,159,224
25,01051,2835,98,101
26,01053,1652,4,0
27,01055,3691,262,310
28,01057,485,5,5
29,01059,1850,59,62
30,01061,739,45,36
31,01063,310,7,11
32,01065,669,23,21
33,01067,570,17,13
34,01069,3368,213,250
35,01071,1694,130,192
36,01073,20731,835,838
37,01075,402,42,66
38,01077,1832,85,97
39,01079,662,21,0
40,01081,6156,0,19
41,01083,2298,79,65
42,01085,662,9,12
43,01087,492,12,15
44,01089,8276,246,249
45,01091,748,0,3
46,01093,1002,46,64
47,01095,4038,0,42
48,01097,13744,340,345
49,01099,597,2,1
50,01101,9029,178,152
51,01103,3481,136,169
52,01105,544,0,0
53,01107,684,0,6
54,01109,1242,3,2
55,01111,706,26,19
56,01113,1822,34,0
57,01115,2474,,NaN
58,01117,6407,170,20
59,01119,438,5,6
60,01121,2257,1,12
61,01123,1197,5,11
62,01125,9219,18,20
63,01127,2436,112,150
64,01129,582,12,13
65,01131,538,9,11
66,01133,770,44,67
67,02013,14,1,1
68,02016,96,1,0
69,02020,5075,370,313
70,02050,128,8,2
71,02060,0,0,0
72,02068,14,,NaN
73,02070,31,1,1
74,02090,1401,116,113
75,02100,9,1,1
76,02105,0,,NaN
77,02110,391,6,4
78,02122,653,26,38
79,02130,69,,NaN
80,02150,75,11,17
81,02158,15,,NaN
82,02164,95,0,0
83,02170,692,54,75
84,02180,87,13,14
85,02185,157,26,33
86,02188,144,20,28
87,02195,13,,NaN
88,02198,32,,NaN
89,02220,70,4,3
90,02230,0,,NaN
91,02240,48,1,2
92,02261,129,6,8
93,02275,19,,NaN
94,02282,31,,NaN
95,02290,86,,NaN
96,04001,3581,75,82
97,04003,1919,51,57
98,04005,4291,254,259
99,04007,1451,379,786
100,04009,895,146,132
101,04011,60,1,1
102,04012,548,3,5
103,04013,143411,6345,6839
104,04015,4050,125,84
105,04017,5817,102,44
106,04019,25980,840,451
107,04021,10746,393,308
108,04023,2889,209,341
109,04025,2617,212,236
110,04027,12815,313,367
111,05001,460,31,15
112,05003,452,27,40
113,05005,403,8,18
114,05007,6910,242,231
115,05009,815,32,3
116,05011,345,1,0
117,05013,37,4,0
118,05015,759,91,111
119,05017,1013,21,37
120,05019,384,44,54
121,05021,342,39,47
122,05023,362,32,49
123,05025,192,4,2
124,05027,565,38,0
125,05029,297,20,24
126,05031,3287,144,55
127,05033,1575,15,22
128,05035,2007,81,93
129,05037,487,51,101
130,05039,171,5,3
131,05041,320,42,68
132,05043,363,7,7
133,05045,2728,202,256
134,05047,327,53,121
135,05049,201,4,4
136,05051,2037,77,44
137,05053,278,15,11
138,05055,960,30,6
139,05057,408,57,78
140,05059,1957,29,13
141,05061,503,42,92
142,05063,1217,100,112
143,05065,268,5,5
144,05067,449,103,180
145,05069,3562,276,367
146,05071,885,57,74
147,05073,123,6,0
148,05075,495,16,6
149,05077,1081,30,50
150,05079,2093,82,155
151,05081,373,28,40
152,05083,446,102,174
153,05085,1318,49,0
154,05087,377,5,7
155,05089,107,4,5
156,05091,919,79,100
157,05093,1777,102,120
158,05095,148,17,24
159,05097,169,31,53
160,05099,234,24,21
161,05101,257,3,2
162,05103,278,27,30
163,05105,98,4,5
164,05107,550,67,83
165,05109,237,2,4
166,05111,718,74,114
167,05113,281,16,17
168,05115,2254,127,157
169,05117,164,14,19
170,05119,9859,297,60
171,05121,477,118,211
172,05123,1564,,NaN
173,05125,2275,374,503
174,05127,115,4,4
175,05129,154,19,34
176,05131,3974,218,241
177,05133,1214,5,0
178,05135,256,24,31
179,05137,373,5,4
180,05139,945,51,66
181,05141,178,11,14
182,05143,9949,453,275
183,05145,975,1,28
184,05147,63,1,2
185,05149,1271,13,2
186,06001,21746,508,420
187,06003,2,0,0
188,06005,297,8,17
189,06007,2903,85,86
190,06009,324,20,27
191,06011,538,0,8
192,06013,17263,809,1055
193,06015,146,10,9
194,06017,1196,109,118
195,06019,29065,888,1110
196,06021,603,17,3
197,06023,522,37,38
198,06025,12076,199,275
199,06027,195,13,26
200,06029,32491,245,107
201,06031,7919,45,45
202,06033,589,48,44
203,06035,743,110,111
204,06037,274942,9125,8100
205,06039,4706,243,307
206,06041,6781,410,411
207,06043,76,5,6
208,06045,1005,112,139
209,06047,9033,189,223
210,06049,27,1,1
211,06051,169,,9
212,06053,10359,407,454
213,06055,1759,42,0
214,06057,547,22,20
215,06059,54760,624,0
216,06061,3684,120,129
217,06063,51,0,1
218,06065,60738,2402,3603
219,06067,23162,922,1214
220,06069,1367,22,0
221,06071,56400,1832,2181
222,06073,48660,2879,3300
223,06075,11480,272,0
224,06077,20569,371,385
225,06079,3688,127,38
226,06081,10275,331,0
227,06083,9276,277,261
228,06085,21926,956,1058
229,06087,2501,60,88
230,06089,1158,195,221
231,06091,6,0,0
232,06093,167,9,18
233,06095,6601,380,500
234,06097,7940,667,838
235,06099,16759,533,868
236,06101,1748,52,67
237,06103,637,79,101
238,06105,25,3,5
239,06107,16399,427,453
240,06109,230,36,58
241,06111,13197,709,1054
242,06113,2893,104,107
243,06115,1188,22,18
244,08001,9900,,NaN
245,08003,252,6,8
246,08005,9750,278,365
247,08007,54,4,12
248,08009,18,0,1
249,08011,11,1,1
250,08013,4607,,NaN
251,08014,695,,NaN
252,08015,337,0,0
253,08017,14,0,1
254,08019,47,20,40
255,08021,36,2,3
256,08023,33,1,1
257,08025,74,1,2
258,08027,18,2,2
259,08029,191,9,11
260,08031,13894,386,660
261,08033,3,0,0
262,08035,2803,206,320
263,08037,1275,27,69
264,08039,168,5,3
265,08041,7236,237,422
266,08043,185,4,7
267,08045,972,15,15
268,08047,19,,2
269,08049,96,7,12
270,08051,296,,0
271,08053,3,0,0
272,08055,25,3,3
273,08057,9,0,0
274,08059,6095,,NaN
275,08061,1,0,0
276,08063,81,3,3
277,08065,99,1,0
278,08067,268,11,7
279,08069,2775,107,134
280,08071,25,0,5
281,08073,20,2,2
282,08075,943,114,263
283,08077,712,36,33
284,08079,20,0,0
285,08081,44,2,1
286,08083,147,4,10
287,08085,388,18,0
288,08087,763,6,10
289,08089,107,11,18
290,08091,28,3,3
291,08093,59,4,4
292,08095,33,1,1
293,08097,227,9,22
294,08099,95,2,2
295,08101,1213,58,81
296,08103,25,1,1
297,08105,99,0,0
298,08107,163,10,18
299,08109,112,1,1
300,08111,6,0,0
301,08113,95,1,1
302,08115,15,1,1
303,08117,489,11,11
304,08119,178,4,11
305,08121,68,5,8
306,08123,4962,,NaN
307,08125,139,43,46
308,09001,20587,297,377
309,09003,15235,369,437
310,09005,1921,45,53
311,09007,1627,67,87
312,09009,14715,327,339
313,09011,2349,261,449
314,09013,1473,267,519
315,09015,1056,50,57
316,10001,3162,112,104
317,10003,11087,542,597
318,10005,7024,163,132
319,11001,NaN,342,307
320,12001,8570,420,288
321,12003,1532,76,74
322,12005,6199,50,16
323,12007,1151,0,0
324,12009,9399,792,773
325,12011,78012,1414,1646
326,12013,630,42,63
327,12015,3152,92,80
328,12017,2846,60,57
