,State,334,339,346
0,Washington,226635,12883,13202
1,Illinois,905069,52611,54653
2,California,1923887,295181,293227
3,Arizona,461345,45550,44992
4,Massachusetts,327374,33787,33748
5,Wisconsin,494353,25368,23976
6,Texas,1604991,115390,113541
7,Nebraska,157103,7271,8013
8,Utah,252783,16723,16671
9,Oregon,103755,8660,8766
10,Florida,1212581,76862,75245
11,New York,857049,73075,74904
12,Rhode Island,80231,7024,7040
13,Georgia,591438,42841,43426
14,New Hampshire,37388,5433,5556
15,North Carolina,483647,42961,43342
16,New Jersey,435763,31264,30412
17,Colorado,311036,20891,20931
18,Maryland,253073,17076,16590
19,Nevada,205884,18249,17986
20,Tennessee,529578,60717,59512
21,Hawaii,20709,858,864
22,Indiana,468219,38453,40231
23,Kentucky,244296,19767,20081
24,Minnesota,399311,19184,20124
25,Oklahoma,263434,23105,22771
26,Pennsylvania,569099,68610,66872
27,South Carolina,275733,22190,21484
28,District of Columbia,26740,1678,1729
29,Kansas,207784,15031,15144
30,Missouri,377948,22258,22245
31,Vermont,6534,646,612
32,Virginia,310890,24346,24959
33,Connecticut,167377,15393,14064
34,Iowa,268736,11310,10945
35,Louisiana,287261,18053,18214
36,Ohio,629354,63474,70536
37,Michigan,501115,31258,31510
38,South Dakota,95074,3905,3869
39,Arkansas,203107,15873,15984
40,Delaware,51056,5170,5003
41,Mississippi,195500,13366,13889
42,New Mexico,130808,10607,10670
43,North Dakota,90116,2245,2714
44,Wyoming,42118,2570,2542
45,Alaska,44023,3047,3110
46,Maine,19285,3126,3109
47,Alabama,324832,26487,25989
48,Idaho,130877,8348,8463
49,Montana,77324,3841,3929
50,Puerto Rico,68849,5343,5263
51,Virgin Islands,1921,119,114
52,Guam,7211,122,109
53,West Virginia,73337,9104,9266
54,Northern Mariana Islands,116,2,2
55,American Samoa,0,0,0
