,State,165,171,178,185
0,Washington,35898,4832,6094,7895
1,Illinois,147251,6024,7583,9842
2,California,264681,56386,61329,76953
3,Arizona,98103,31736,40182,49195
4,Massachusetts,105192,1326,1405,1505
5,Wisconsin,31577,4974,7012,9492
6,Texas,197421,59319,86141,115106
7,Nebraska,19929,1062,1157,1224
8,Utah,24952,4579,5576,6539
9,Oregon,10230,2520,3536,4842
10,Florida,200111,78655,104083,135642
11,New York,397131,4650,5380,6157
12,Rhode Island,16991,219,243,219
13,Georgia,95516,22483,30988,39932
14,New Hampshire,5897,148,114,94
15,North Carolina,75216,11797,13289,14374
16,New Jersey,173402,2125,2233,2478
17,Colorado,34048,2093,2631,3387
18,Maryland,69632,2623,2878,2985
19,Nevada,22418,6978,9238,12175
20,Tennessee,51316,12475,18111,24145
21,Hawaii,1023,156,164,143
22,Indiana,48201,3572,3858,4726
23,Kentucky,16376,1240,1391,1417
24,Minnesota,38136,2582,2151,1989
25,Oklahoma,15931,3988,5762,7703
26,Pennsylvania,94403,5229,7226,9498
27,South Carolina,44847,14825,20159,26117
28,District of Columbia,10482,188,154,129
29,Kansas,16081,2892,4290,5813
30,Missouri,23816,3826,5557,7539
31,Vermont,1249,43,26,20
32,Virginia,65748,4001,3999,3987
33,Connecticut,46717,326,285,227
34,Iowa,31517,3579,4538,5927
35,Louisiana,65226,10661,12439,15392
36,Ohio,57150,9064,12377,16559
37,Michigan,72941,3658,4921,6310
38,South Dakota,7063,396,436,453
39,Arkansas,23814,4693,4981,5167
40,Delaware,12128,1036,1415,1842
41,Mississippi,30900,6436,9256,11719
42,New Mexico,13256,1885,2616,3465
43,North Dakota,3816,373,553,743
44,Wyoming,1634,284,356,455
45,Alaska,1134,296,401,462
46,Maine,3415,259,304,347
47,Alabama,43953,9948,13373,17525
48,Idaho,7733,2876,3947,5347
49,Montana,1212,394,572,782
50,Puerto Rico,7916,NaN,NaN,NaN
51,Virgin Islands,111,NaN,NaN,NaN
52,Guam,280,NaN,NaN,NaN
53,West Virginia,3262,565,815,1116
54,Northern Mariana Islands,31,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
