,State,298,304,311,318
0,Washington,130040,14633,17975,21948
1,Illinois,573616,97295,116561,133210
2,California,1032095,65151,82162,99876
3,Arizona,275436,19281,24269,29105
4,Massachusetts,188275,19054,23339,26067
5,Wisconsin,329924,54273,61825,67021
6,Texas,1073590,72359,86225,96586
7,Nebraska,98161,16344,19584,22068
8,Utah,153808,22695,26775,30873
9,Oregon,56880,7660,9612,11622
10,Florida,885201,53222,60666,72712
11,New York,560200,33822,43481,51437
12,Rhode Island,41529,3341,4073,4469
13,Georgia,424989,25099,27987,30980
14,New Hampshire,14682,2482,3121,3632
15,North Carolina,312235,21398,24112,27097
16,New Jersey,279274,27755,33173,37733
17,Colorado,163417,34830,42752,48664
18,Maryland,165930,13730,17336,20912
19,Nevada,120183,11446,13906,16688
20,Tennessee,310937,34423,40432,47865
21,Hawaii,16759,593,643,659
22,Indiana,251597,47018,56413,63968
23,Kentucky,137586,17021,20777,23196
24,Minnesota,223581,49577,58545,66339
25,Oklahoma,154128,20909,24685,28868
26,Pennsylvania,268696,35093,43899,51236
27,South Carolina,195507,11229,13716,16232
28,District of Columbia,18977,1129,1431,1743
29,Kansas,117564,14148,18390,21175
30,Missouri,244541,31892,42086,48678
31,Vermont,2889,468,642,706
32,Virginia,201960,10859,11966,13309
33,Connecticut,88645,8457,11561,13773
34,Iowa,186314,34890,42363,47116
35,Louisiana,204513,8385,12570,14875
36,Ohio,298096,54000,65868,77199
37,Michigan,275792,42864,58566,67513
38,South Dakota,65381,11152,12849,13486
39,Arkansas,133040,12132,15250,17510
40,Delaware,28803,2628,3251,3939
41,Mississippi,134309,8575,10317,11726
42,New Mexico,64201,10128,11466,12307
43,North Dakota,63796,10410,11310,11031
44,Wyoming,22494,5688,6808,7511
45,Alaska,23814,4742,5569,6303
46,Maine,8944,1449,1736,2011
47,Alabama,217822,15298,17978,19588
48,Idaho,82245,9959,11723,13118
49,Montana,47158,7900,8219,8063
50,Puerto Rico,42479,NaN,NaN,NaN
51,Virgin Islands,1434,NaN,NaN,NaN
52,Guam,5924,NaN,NaN,NaN
53,West Virginia,33659,6056,7447,8557
54,Northern Mariana Islands,102,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
