,State,214,220,227,234
0,Washington,71012,3298,2849,2270
1,Illinois,221594,14864,16384,17301
2,California,669280,45117,39501,33220
3,Arizona,198103,3463,2694,1803
4,Massachusetts,118237,1840,1917,1728
5,Wisconsin,70462,4440,4228,3531
6,Texas,594035,36644,28749,22174
7,Nebraska,31889,1488,1439,1281
8,Utah,49115,2235,2073,1774
9,Oregon,24937,1601,1368,1119
10,Florida,600571,22843,16194,11269
11,New York,429737,4332,4287,4210
12,Rhode Island,21022,540,605,560
13,Georgia,253949,14766,12360,9249
14,New Hampshire,7107,108,91,74
15,North Carolina,160106,9747,10192,9945
16,New Jersey,189494,2021,1974,1772
17,Colorado,55123,1662,1276,881
18,Maryland,104102,3628,2991,2407
19,Nevada,65601,3856,3114,2367
20,Tennessee,143937,9275,7059,5339
21,Hawaii,6600,2245,2778,3358
22,Indiana,85932,5672,5643,5221
23,Kentucky,43066,3927,4599,4365
24,Minnesota,69584,4314,4017,3631
25,Oklahoma,53165,4731,4656,4111
26,Pennsylvania,133679,4506,4160,3618
27,South Carolina,111988,4553,3701,2705
28,District of Columbia,13590,304,303,250
29,Kansas,37658,4165,5248,6049
30,Missouri,75783,8160,8127,7537
31,Vermont,1557,55,61,70
32,Virginia,112960,6090,5611,4949
33,Connecticut,51519,468,490,441
34,Iowa,56446,4437,5261,5907
35,Louisiana,142943,3894,1984,1263
36,Ohio,114802,5902,5383,4399
37,Michigan,106808,4735,4082,3542
38,South Dakota,11276,1239,1783,2353
39,Arkansas,56574,3099,3094,2513
40,Delaware,16895,560,422,360
41,Mississippi,77894,5002,4857,4139
42,New Mexico,24396,856,792,629
43,North Dakota,9876,1499,2005,2398
44,Wyoming,3578,327,370,414
45,Alaska,4741,512,472,409
46,Maine,4336,223,323,442
47,Alabama,115060,5127,4413,3171
48,Idaho,29845,1857,1432,1007
49,Montana,6429,672,643,506
50,Puerto Rico,29896,NaN,NaN,NaN
51,Virgin Islands,980,NaN,NaN,NaN
52,Guam,767,NaN,NaN,NaN
53,West Virginia,9273,703,584,448
54,Northern Mariana Islands,54,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
