,State,172,178,185,192,199,206
0,Washington,40656,4119,5027,5871,6565,7040
1,Illinois,155048,9720,12817,17091,21314,24246
2,California,324543,47982,48308,52239,56916,60231
3,Arizona,122467,11021,11024,11378,11464,11065
4,Massachusetts,106675,2960,3242,3526,3726,3807
5,Wisconsin,36448,4172,5833,7554,8873,9494
6,Texas,262762,30908,36608,42367,45961,46378
7,Nebraska,21172,1528,2061,2646,3109,3328
8,Utah,29484,3074,3485,3768,3914,3935
9,Oregon,12170,2595,3540,4483,5250,5739
10,Florida,269811,22747,26030,29276,31202,31421
11,New York,401706,10928,12678,16286,20733,24702
12,Rhode Island,17312,69,99,153,239,351
13,Georgia,116935,10349,11960,13039,13446,13245
14,New Hampshire,6054,386,500,657,838,1000
15,North Carolina,88316,10446,12138,13388,14000,13977
16,New Jersey,175298,4563,5754,7165,8430,9305
17,Colorado,36895,1589,2016,2720,3647,4726
18,Maryland,73109,3665,4135,4609,5005,5240
19,Nevada,27683,3856,3839,3744,3833,3988
20,Tennessee,61960,6828,7964,8771,9185,9225
21,Hawaii,1220,196,336,508,668,815
22,Indiana,51612,4956,6425,7870,8921,9429
23,Kentucky,19389,2439,3142,4195,5286,6058
24,Minnesota,42281,4042,4926,5746,6277,6445
25,Oklahoma,20235,3405,4422,5300,5851,6057
26,Pennsylvania,99794,6040,7130,8307,9365,10083
27,South Carolina,56648,7923,8529,8728,8542,8087
28,District of Columbia,10847,311,383,494,635,769
29,Kansas,18981,1969,2595,3220,3711,3991
30,Missouri,27880,3266,4467,5718,6665,7147
31,Vermont,1296,85,129,185,253,323
32,Virginia,70670,5579,6695,8438,10301,11807
33,Connecticut,47287,1366,1909,2604,3342,3976
34,Iowa,35410,2832,3541,4163,4532,4633
35,Louisiana,78122,7112,8216,8763,8669,8111
36,Ohio,65592,7951,9103,10089,10737,11005
37,Michigan,76776,5920,8033,11552,15632,18693
38,South Dakota,7499,589,594,588,579,561
39,Arkansas,28367,4111,5098,5825,6079,5864
40,Delaware,12804,860,1137,1418,1594,1614
41,Mississippi,36287,3932,4473,4782,4831,4622
42,New Mexico,15028,1940,2428,2875,3174,3259
43,North Dakota,4334,441,541,631,693,711
44,Wyoming,1862,261,383,518,622,661
45,Alaska,1479,225,308,391,461,518
46,Maine,3539,297,367,456,549,633
47,Alabama,53587,6994,7737,8135,8181,7897
48,Idaho,10903,1281,1769,2258,2593,2722
49,Montana,1758,383,498,619,720,792
50,Puerto Rico,9654,800,857,841,814,843
51,Virgin Islands,181,1,2,3,4,6
52,Guam,310,9,11,13,15,16
53,West Virginia,4244,598,802,1112,1434,1725
54,Northern Mariana Islands,33,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
