,State,180,185,192,199,206,213
0,Washington,47743,8320,10099,12237,14795,17842
1,Illinois,163922,7971,8434,8917,9420,9942
2,California,397870,104382,130498,162397,200934,246850
3,Arizona,145183,22619,22161,21641,21065,20439
4,Massachusetts,108545,1970,2094,2225,2363,2509
5,Wisconsin,43018,10542,13592,17464,22341,28421
6,Texas,343783,137641,186641,250572,331916,431896
7,Nebraska,22847,1117,966,843,733,638
8,Utah,34526,6766,7990,9404,11025,12865
9,Oregon,14847,4044,5246,6794,8777,11306
10,Florida,360394,108702,125759,144383,164295,185069
11,New York,407326,3217,2826,2482,2180,1914
12,Rhode Island,17904,202,149,111,82,61
13,Georgia,145582,47122,62006,80881,104301,132529
14,New Hampshire,6249,69,51,37,28,20
15,North Carolina,103730,17868,20138,22641,25388,28380
16,New Jersey,176963,1064,872,715,586,480
17,Colorado,40548,6748,9432,13150,18268,25252
18,Maryland,78685,5083,5668,6312,7021,7798
19,Nevada,36713,11824,14911,18676,23189,28486
20,Tennessee,79754,24525,31370,39859,50213,62580
21,Hawaii,1393,482,682,964,1361,1919
22,Indiana,57206,7270,9148,11489,14396,17983
23,Kentucky,23414,6426,8862,12184,16682,22710
24,Minnesota,47107,5936,7039,8332,9844,11604
25,Oklahoma,25436,10312,14088,19143,25819,34480
26,Pennsylvania,106405,8562,10260,12282,14684,17529
27,South Carolina,71445,14184,15022,15855,16673,17467
28,District of Columbia,11339,860,1194,1654,2281,3129
29,Kansas,22656,5807,7526,9717,12486,15944
30,Missouri,34102,7632,9421,11605,14259,17464
31,Vermont,1360,67,75,85,96,108
32,Virginia,78375,10626,13691,17600,22558,28802
33,Connecticut,48055,484,451,420,392,365
34,Iowa,39343,4078,4385,4706,5042,5392
35,Louisiana,94892,24178,31090,39595,49813,61706
36,Ohio,76168,13092,15541,18415,21776,25688
37,Michigan,82395,8933,11903,15834,21015,27804
38,South Dakota,7943,379,365,352,340,327
39,Arkansas,33927,7394,8515,9770,11163,12693
40,Delaware,13624,974,1094,1228,1376,1539
41,Mississippi,43889,8766,10435,12365,14569,17055
42,New Mexico,17215,2366,2640,2942,3272,3633
43,North Dakota,5126,572,545,522,499,476
44,Wyoming,2187,458,565,696,856,1051
45,Alaska,1950,732,976,1299,1725,2281
46,Maine,3711,97,88,80,72,65
47,Alabama,68891,17678,21382,25709,30689,36320
48,Idaho,15268,11014,17558,27487,41827,60951
49,Montana,2620,2457,4153,6966,11538,18717
50,Puerto Rico,12461,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,304,NaN,NaN,NaN,NaN,NaN
52,Guam,319,NaN,NaN,NaN,NaN,NaN
53,West Virginia,5084,1312,1555,1840,2176,2568
54,Northern Mariana Islands,38,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
