,State,354,360,367,374,381,388
0,Washington,271595,20304,19972,19576,19122,18615
1,Illinois,1028750,33488,29575,26037,22861,20023
2,California,2717862,289326,287549,282124,273277,261431
3,Arizona,618546,65296,70073,74045,76966,78638
4,Massachusetts,432791,39529,39206,38613,37764,36680
5,Wisconsin,550260,13785,11847,10157,8692,7425
6,Texas,1968189,133085,137030,139774,141210,141278
7,Nebraska,176026,4545,3816,3192,2661,2212
8,Utah,305999,15233,14266,13275,12280,11296
9,Oregon,125683,7050,6671,6297,5931,5574
10,Florida,1477010,112258,121996,131392,140146,147938
11,New York,1135592,115202,126369,136836,146098,153648
12,Rhode Island,97614,6523,6005,5490,4987,4504
13,Georgia,757045,72318,79708,86238,91437,94880
14,New Hampshire,51600,4958,4835,4697,4544,4379
15,North Carolina,623188,60513,66128,71553,76597,81056
16,New Jersey,584828,32709,32552,32205,31677,30978
17,Colorado,361148,12984,11213,9660,8306,7128
18,Maryland,306674,19003,19168,19242,19224,19115
19,Nevada,248569,13996,13194,12347,11477,10600
20,Tennessee,653869,50911,50022,48480,46362,43770
21,Hawaii,23586,1053,1110,1169,1230,1292
22,Indiana,563653,29645,27392,25187,23057,21020
23,Kentucky,303624,18047,17565,16981,16310,15567
24,Minnesota,436572,6206,4594,3398,2511,1855
25,Oklahoma,331362,20192,19478,18641,17705,16695
26,Pennsylvania,723865,47934,43865,39825,35898,32148
27,South Carolina,354525,41284,46892,52286,57105,60961
28,District of Columbia,31791,1897,1951,1998,2038,2070
29,Kansas,243648,11547,10663,9804,8977,8190
30,Missouri,434711,16290,14846,13479,12194,10997
31,Vermont,8967,1524,1797,2109,2465,2865
32,Virginia,398856,36704,39861,42981,45991,48808
33,Connecticut,205994,14598,14295,13932,13513,13046
34,Iowa,296682,10606,11059,11437,11719,11894
35,Louisiana,346829,21721,22417,22932,23245,23346
36,Ohio,777065,47448,43974,40586,37318,34194
37,Michigan,562553,16676,14139,11970,10121,8549
38,South Dakota,103318,1895,1551,1267,1034,842
39,Arkansas,255076,18036,17503,16727,15877,14950
40,Delaware,65273,4947,4880,4779,4646,4485
41,Mississippi,239082,18356,19367,20215,20865,21286
42,New Mexico,156157,6733,5959,5254,4618,4047
43,North Dakota,94716,929,695,520,389,290
44,Wyoming,46832,1000,795,631,500,396
45,Alaska,50218,1505,1253,1041,864,717
46,Maine,29298,5325,6302,7411,8650,10008
47,Alabama,401900,33888,35768,37213,38137,38481
48,Idaho,149667,5708,5123,4580,4081,3626
49,Montana,86324,2218,1872,1577,1327,1115
50,Puerto Rico,83119,6406,6608,6781,6921,7025
51,Virgin Islands,2143,NaN,NaN,NaN,NaN,NaN
52,Guam,7399,NaN,NaN,NaN,NaN,NaN
53,West Virginia,101212,9966,10075,10086,9999,9817
54,Northern Mariana Islands,125,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
