,State,326,332,339,346
0,Washington,202063,21269,23813,24740
1,Illinois,848904,59812,52854,44655
2,California,1585378,227257,269200,306709
3,Arizona,408442,47399,53221,57869
4,Massachusetts,290578,33932,33027,29926
5,Wisconsin,468956,27636,24209,20509
6,Texas,1481899,105712,113465,122156
7,Nebraska,148861,9473,7479,6192
8,Utah,233904,21345,20855,20277
9,Oregon,93853,11628,12069,12730
10,Florida,1125931,78829,86735,94186
11,New York,774767,82471,91378,99305
12,Rhode Island,70818,6876,6211,5514
13,Georgia,542838,48630,58136,66925
14,New Hampshire,30956,6254,7091,7597
15,North Carolina,436595,48653,58476,68485
16,New Jersey,400650,37004,37010,36419
17,Colorado,288193,27712,23757,19428
18,Maryland,234647,22819,25189,27458
19,Nevada,186833,20319,21527,22229
20,Tennessee,454305,49960,58452,64192
21,Hawaii,19588,883,1038,1190
22,Indiana,425434,48445,47059,44665
23,Kentucky,223103,25773,26245,26003
24,Minnesota,378823,27865,21444,16602
25,Oklahoma,237668,22911,23778,24410
26,Pennsylvania,495099,77605,83844,86924
27,South Carolina,252206,23842,28549,33397
28,District of Columbia,24874,2304,2668,3178
29,Kansas,188460,17820,18025,17427
30,Missouri,353178,25009,23375,21145
31,Vermont,5753,965,993,1073
32,Virginia,281909,30207,35908,41202
33,Connecticut,146761,15061,14655,13749
34,Iowa,256249,10296,7554,5600
35,Louisiana,268613,18854,19128,19655
36,Ohio,562727,82145,87655,88502
37,Michigan,465159,40869,34647,28850
38,South Dakota,91038,4972,4206,3477
39,Arkansas,185702,18149,20206,21978
40,Delaware,45460,6339,7144,7988
41,Mississippi,179447,17574,19989,21834
42,New Mexico,119800,10942,9495,7698
43,North Dakota,87871,4293,3894,3210
44,Wyoming,39360,2590,1941,1475
45,Alaska,41143,4740,4339,4055
46,Maine,15923,2848,3292,3616
47,Alabama,295631,31093,36123,40871
48,Idaho,121179,11950,12681,13359
49,Montana,73303,5383,4662,3904
50,Puerto Rico,62431,NaN,NaN,NaN
51,Virgin Islands,1791,NaN,NaN,NaN
52,Guam,7079,NaN,NaN,NaN
53,West Virginia,63217,9578,9995,10300
54,Northern Mariana Islands,113,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
