,State,193,199,206,213,220,227
0,Washington,58173,7192,8399,9481,10195,10392
1,Illinois,183224,12666,15089,17459,19217,20038
2,California,512175,64417,73694,79933,80747,76571
3,Arizona,178467,9817,8927,8094,7268,6498
4,Massachusetts,112109,3101,4311,5956,7687,9060
5,Wisconsin,54924,8002,8868,9451,9725,9667
6,Texas,448145,53351,54764,54083,51424,47292
7,Nebraska,26702,1809,1991,2142,2223,2235
8,Utah,41175,3898,4031,4062,3958,3740
9,Oregon,19097,4412,4870,5235,5481,5618
10,Florida,487132,51139,49685,46420,41844,36649
11,New York,416298,8465,11750,17614,25087,31480
12,Rhode Island,19022,77,124,199,288,369
13,Georgia,193177,22446,22441,21729,20438,18769
14,New Hampshire,6634,337,407,501,605,707
15,North Carolina,128450,16758,16833,16401,15552,14459
16,New Jersey,182350,3173,3684,4300,4964,5555
17,Colorado,47709,4294,5266,6307,7216,7820
18,Maryland,90274,4897,5054,5134,5129,5029
19,Nevada,50205,5299,5278,5158,4778,4232
20,Tennessee,109627,14387,14467,14056,13275,12214
21,Hawaii,2242,1438,1955,2457,2813,2965
22,Indiana,67857,6736,7594,8249,8638,8708
23,Kentucky,31185,5479,6607,7559,8078,8125
24,Minnesota,55947,5284,5694,5974,6077,6026
25,Oklahoma,38225,9588,10146,10245,9986,9385
26,Pennsylvania,118033,9472,12403,16355,20173,22761
27,South Carolina,91788,11743,11138,10330,9402,8432
28,District of Columbia,12274,380,437,498,556,600
29,Kansas,27871,4315,4811,5150,5266,5199
30,Missouri,52184,9274,10469,11267,11608,11444
31,Vermont,1426,96,128,170,214,251
32,Virginia,91782,7812,9158,10356,11113,11394
33,Connecticut,49810,1315,1527,1777,2047,2305
34,Iowa,45723,4043,4302,4433,4416,4270
35,Louisiana,119747,10210,10894,11203,10768,9660
36,Ohio,93031,14637,16566,18040,18861,19029
37,Michigan,91758,9898,12929,16013,18299,19369
38,South Dakota,8955,475,456,434,409,385
39,Arkansas,43810,5200,5438,5488,5354,5056
40,Delaware,14949,680,693,703,710,706
41,Mississippi,60553,7231,7191,6880,6402,5818
42,New Mexico,21016,2489,2885,3281,3503,3483
43,North Dakota,6660,877,917,931,913,868
44,Wyoming,2808,427,495,562,613,645
45,Alaska,3280,1129,1266,1338,1355,1322
46,Maine,3958,227,271,333,405,479
47,Alabama,91444,11861,11428,10727,9858,8893
48,Idaho,21110,4819,5093,5102,4851,4429
49,Montana,4193,1033,1188,1303,1363,1354
50,Puerto Rico,18411,592,601,650,716,779
51,Virgin Islands,421,13,16,19,20,19
52,Guam,368,13,12,13,13,14
53,West Virginia,6858,1333,1777,2267,2649,2844
54,Northern Mariana Islands,45,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
